indicator_orig,indic_id,indicator_harmonized
 community awareness,GEO_17_8_200_173,community awareness
GHG emissions from agriculture,GEO_17_9_201_174,ghg emissions from agriculture
agricultural emissions from different farming sectors,GEO_17_11_203_175,agricultural emissions from different farming sectors
 proportion of agricultural area under productive and sustainable agriculture,GEO_17_11_203_176,proportion of agricultural area under productive and sustainable agriculture
 sustainability and nutrient efficiency of national dietary outcomes,GEO_17_11_203_177,sustainability and nutrient efficiency of national dietary outcomes
 dietary health and sustainability,GEO_17_11_203_178,dietary health and sustainability
dietary health and sustainability,GEO_17_12_205_179,dietary health and sustainability
 including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,GEO_17_12_205_180,including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption
 recommended intake values for the food groups,GEO_17_12_206_181,recommended intake values for the food groups
energy production,GEO_17_14_210_182,energy production
 energy consumption,GEO_17_14_210_183,energy consumption
achievement of a circular economic system,GEO_17_20_212_184,achievement of a circular economic system
 sustainable resource management,GEO_17_20_212_185,sustainable resource management
 societal behaviour,GEO_17_20_212_186,societal behaviour
 business operations,GEO_17_20_212_187,business operations
 material flow accounting,GEO_17_20_212_188,material flow accounting
 material flow analysis,GEO_17_20_212_189,material flow analysis
domestic material consumption,GEO_17_20_213_190,domestic material consumption
societal behaviour,GEO_17_22_214_191,societal behaviour
under-five mortality rate,GEO_20_6_228_192,under-five child mortality rate
 PM 2.5 emissions,GEO_20_6_228_193,pm 2.5 emissions
 O3 emissions,GEO_20_6_228_194,o3 emissions
 volatile organic compounds emissions,GEO_20_6_228_195,volatile organic compounds emissions
 PM 10 emissions,GEO_20_6_228_196,pm 10 emissions
 air quality,GEO_20_6_228_197,air quality
mortality rate attributable to household and ambient air pollution,GEO_20_7_232_198,mortality rate attributable to household and ambient air pollution
 deaths due to unsafe water,GEO_20_7_232_199,deaths due to unsafe water
 sanitation and hygiene,GEO_20_7_232_200,sanitation and hygiene
 mortality from unintentional poisoning,GEO_20_7_232_201,mortality from unintentional poisoning
percentage of the population exposed to annual mean PM concentrations above the highest interim target of 35 μg/m,GEO_20_8_233_202,percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m
 United Nations Framework Convention on Climate Change (UNFCCC),GEO_20_8_233_203,united nations framework convention on climate change
freshwater withdrawal as a proportion of available freshwater resources,GEO_20_8_234_204,freshwater withdrawal as a proportion of available freshwater resources
 total gobal population living in water scarce areas,GEO_20_8_234_205,total gobal population living in water scarce areas
 marine nutirent pollution,GEO_20_8_234_206,marine nutirent pollution
 Index of Coastal Eutrophication (icep),GEO_20_8_234_207,index of coastal eutrophication potential (icep)
 Floating Plastic Debris Density,GEO_20_8_234_208,plastic debris density
 nutrient runoff into oceans (N and P),GEO_20_8_234_209,nutrient runoff into oceans (n and p)
 trends in the proportion of fish stocks within biologically sustainable levels,GEO_20_8_234_210,proportion of fish stocks within biologically sustainable levels
 proportion of land that is degraded over total land area,GEO_20_8_234_211,proportion of land that is degraded over total land area
 trends in soil organic carbon stock,GEO_20_8_234_212,soil organic carbon (soc) stocks
number of people living on less than 1.90 USD per day,GEO_21_8_241_213,number of people living on less than 1.90 usd per day
 land-use change,GEO_21_10_246_214,land-use change
" changes in terrestrial, marine and freshwater vertebrate populations",GEO_21_10_246_215,"changes in terrestrial, marine and freshwater vertebrate populations"
species dispersal ability,GEO_21_11_248_216,species dispersal ability
proportion of fish stocks within biologically sustainable levels,GEO_21_17_250_217,proportion of fish stocks within biologically sustainable levels
 projections of global fisheries under an unchanged climate and current management scenario,GEO_21_17_250_218,projections of global fisheries under an unchanged climate and current management scenario
 proportion of fish stocks at or below a target biomass that can undergo recovery,GEO_21_17_250_219,proportion of fish stocks within biologically sustainable levels
Body mass index,GEO_21_17_251_220,body mass index
 blood pressure,GEO_21_17_251_221,blood pressure
 smoking,GEO_21_17_251_222,smoking
 childhood undernutrition,GEO_21_17_251_223,childhood undernutrition
 alcohol use,GEO_21_17_251_224,alcohol use
Under-five child mortality,GEO_21_17_252_225,under-five child mortality rate
under-five mortality,GEO_21_18_253_226,under-five child mortality rate
beef consumption,GEO_22_8_255_227,beef consumption
energy-intensity,GEO_22_12_256_228,energy-intensity
 share of low-carbon options,GEO_22_12_256_229,share of low-carbon options
 measure of income,GEO_22_21_257_230,measure of income
 levels of education,GEO_22_21_257_231,levels of education
 low income,GEO_22_21_257_232,low income
 Women and girl’s education,GEO_22_21_257_233,women and girl’s education
 Inclusive and equitable quality education,GEO_22_21_257_234,inclusive and equitable quality education
 child mortality,GEO_22_21_257_235,child mortality
 fertility rates,GEO_22_21_257_236,fertility rates
 democracy,GEO_22_21_257_237,democracy
 universal female education,GEO_22_21_257_238,universal female education
 piped drinking water,GEO_22_21_257_239,piped drinking water
 advanced malaria control,GEO_22_21_257_240,advanced malaria control
 complete phase-out of biomass use for cooking,GEO_22_21_257_241,complete phase-out of biomass use for cooking
food waste,GEO_23_24_262_242,food waste index
 yield (improvement),GEO_23_24_262_243,yield (improvement)
 agro-biodiversity,GEO_23_24_262_244,agro-biodiversity
 forest and land management,GEO_23_24_262_245,forest and land management
investment costs of groundwater abstraction and desalination for continued water supply and sanitation of rapidly expanding cities,GEO_23_24_263_246,investment costs of groundwater abstraction and desalination for continued water supply and sanitation of rapidly expanding cities
 wastewater treatment,GEO_23_24_263_247,wastewater treatment
 chemical contaminants,GEO_23_24_263_248,chemical contaminants
inclusive wealth,IPBES_VA_2_7_9_1,inclusive wealth
UNDP human development dashboard,IPBES_VA_2_8_10_2,undp human development dashboard
 genuine progress INDICATOR,IPBES_VA_2_8_10_3,genuine progress indicator
 sustainability dashboard,IPBES_VA_2_8_10_4,sustainability dashboard
genetic diversity,IPBES_VA_2_10_12_5,genetic diversity
 endemic species richness,IPBES_VA_2_10_12_6,endemic species richness
 Gross Domestic Product,IPBES_VA_2_10_12_7,gross domestic product
