indicator_orig,indic_id,indicator_harmonized
  estimate of GSAT (ERA-5),IPCC_1_45_19_15,estimate of gsat (era-5)
 observation-based estimate of global mean surface air temperature (GMST),IPCC_1_45_19_16,global mean surface temperature (gmst)
 mean GSAT,IPCC_1_45_19_17,mean gsat
global mean surface temperature (GMST),IPCC_1_47_20_18,global mean surface temperature (gmst)
annual GSAT change,IPCC_1_50_21_19,annual gsat change
 annual ice volume,IPCC_1_50_21_20,annual ice volume
 September sea ice extent,IPCC_1_50_21_21,september sea ice extent
global temperature,IPCC_1_58_23_22,global temperature
 cumulative GHG emissions,IPCC_1_58_23_23,cumulative ghg emissions
economic damages due to river floods,IPCC_1_62_25_24,economic damages due to river floods
  occurrence of heat-related human mortality,IPCC_1_62_25_25,occurrence of heat-related human mortality
 economic inequality,IPCC_1_62_25_26,economic inequality
Essential Climate Variables (ECVs),IPCC_1_64_26_27,essential climate variables (ecvs)
 Essential Ocean Variables (EOVs),IPCC_1_64_26_28,essential ocean variables (eovs)
leaf area INDEX,IPCC_1_66_27_29,leaf area index (lai)
 fraction of absorbed photosynthetically active radiation (FAPAR),IPCC_1_66_27_30,fraction of absorbed photosynthetically active radiation (fapar)
 fire disturbances/burned areas,IPCC_1_66_27_31,fire disturbances/burned areas
Time series of Normalized Difference Vegetation INDEX (NDVI),IPCC_1_67_28_32,time series of normalized difference vegetation index (ndvi)
Northern Hemisphere temperature over the last millennium,IPCC_1_67_29_33,northern hemisphere temperature over the last millennium
ocean heat content,IPCC_1_70_30_34,ocean heat content
 thermosteric sea level,IPCC_1_70_30_35,thermosteric sea level
 salinity,IPCC_1_70_30_36,salinity
 sea ice extent,IPCC_1_70_30_37,sea ice extent
 AMOC,IPCC_1_70_30_38,amoc
Atmospheric concentrations,IPCC_1_92_33_39,atmospheric co2 concentrations
 global temperatures,IPCC_1_92_33_40,global temperatures
Global mean surface temperature (GMST),IPCC_2_8_35_41,global mean surface temperature (gmst)
Boron-Isotope,IPCC_2_14_37_42,boron-isotope
Isotope-composition of molecular oxygen trapped in polar firn and ice,IPCC_2_21_41_43,isotope-composition of molecular oxygen trapped in polar firn and ice
Free tropospheric ozone,IPCC_2_21_42_44,free tropospheric ozone
Aerosol abundance,IPCC_2_24_45_45,aerosol abundance
Pollen presence,IPCC_2_24_46_46,pollen presence
Surface and upper air temperatures,IPCC_2_26_47_47,surface and upper air temperatures
 Surface humidity,IPCC_2_26_47_48,surface humidity
 precipitable water vapour,IPCC_2_26_47_49,precipitable water vapour
 precipitation,IPCC_2_26_47_50,precipitation
 Precipitation-Evaporation,IPCC_2_26_47_51,precipitation-evaporation
 runoff,IPCC_2_26_47_52,runoff
 Sea level pressure and winds,IPCC_2_26_47_53,sea level pressure and winds
 Hadley/Walker circulation,IPCC_2_26_47_54,hadley/walker circulation
 global monsoons,IPCC_2_26_47_55,global monsoons
 strom tracks and jets,IPCC_2_26_47_56,strom tracks and jets
 sudden stratospheric warmings,IPCC_2_26_47_57,sudden stratospheric warmings
 Sea ice extent/area,IPCC_2_26_47_58,sea ice extent
 seasonality and thickness,IPCC_2_26_47_59,seasonality and thickness
 Terrestrial snow cover,IPCC_2_26_47_60,terrestrial snow cover
 Glacier mass and extent,IPCC_2_26_47_61,glacier mass and extent
 Terrestrial permafrost temperature and active layer thickness,IPCC_2_26_47_62,terrestrial permafrost temperature and active layer thickness
 Temperature/ocean heat content,IPCC_2_26_47_63,ocean heat content
 Salinity,IPCC_2_26_47_64,salinity
 Sea level,IPCC_2_26_47_65,sea level
 Circulation,IPCC_2_26_47_66,circulation
 pH and desoxygenation,IPCC_2_26_47_67,ph and desoxygenation
 Seasonal cycle of CO2,IPCC_2_26_47_68,seasonal cycle of co2
 Distribution of marine biota,IPCC_2_26_47_69,distribution of marine biota
 primary production of marine biota,IPCC_2_26_47_70,primary production of marine biota
 phenology of marine biota,IPCC_2_26_47_71,phenology of marine biota
 distribution of terrestrial biota,IPCC_2_26_47_72,distribution of terrestrial biota
 global greening/browning,IPCC_2_26_47_73,global greening/browning
 growing season of terrestrial biota,IPCC_2_26_47_74,growing season of terrestrial biota
Temperature,IPCC_2_28_57_75,temperature
 benthich isotopes,IPCC_2_28_57_76,benthich isotopes
Marine sediment cores,IPCC_2_29_60_77,marine sediment cores
Paleo-temperature records,IPCC_2_29_62_78,paleo-temperature records
Zonally averaged mean annual temperature reconstructions,IPCC_2_31_64_79,zonally averaged mean annual temperature reconstructions
subsurface borehole temperature profiles,IPCC_2_31_65_80,subsurface borehole temperature profiles
 changes in land versus sea surface temperature,IPCC_2_31_65_81,changes in land versus sea surface temperature
Radio occultation,IPCC_2_42_69_82,radio occultation
Global vegetation cover,IPCC_2_43_71_83,global vegetation cover
 atmospheric dust deposition,IPCC_2_43_71_84,atmospheric dust deposition
Changes in observed cloud cover,IPCC_2_51_79_85,changes in observed cloud cover
 satellite observations of precipitation,IPCC_2_51_79_86,satellite observations of precipitation
 upper tropospheric humidity,IPCC_2_51_79_87,upper tropospheric humidity
SH monsoons,IPCC_2_51_80_88,sh monsoons
air Moisture,IPCC_2_52_82_89,air moisture
Loss of older ice,IPCC_2_56_85_90,loss of older ice
Mean Arctic Sea Ice Area,IPCC_2_57_88_91,mean arctic sea ice area
Marine Sediments,IPCC_2_57_89_92,marine sediments
Whaling records,IPCC_2_58_90_93,whaling records
 old ship logbooks,IPCC_2_58_90_94,old ship logbooks
 ice core records,IPCC_2_58_90_95,ice core records
Early Nimbus satellite visible and infrared imagery,IPCC_2_58_91_96,early nimbus satellite visible and infrared imagery
Glacier areal and mass changes/loss rate,IPCC_2_60_95_97,glacier areal and mass changes/loss rate
Greenland Ice Sheet fluctuations,IPCC_2_60_96_98,greenland ice sheet fluctuations
Marine sediments,IPCC_2_61_98_99,marine sediments
marine sediments below the ice sheet,IPCC_2_61_99_100,marine sediments below the ice sheet
Pollen Presence,IPCC_2_62_100_101,pollen presence
 Speleothem records,IPCC_2_62_100_102,speleothem records
 permafrost-vegetation relationships,IPCC_2_62_100_103,permafrost-vegetation relationships
Permafrost temperature,IPCC_2_62_101_104,permafrost temperature
ground subsidence,IPCC_2_63_102_105,ground subsidence
 thermokarst,IPCC_2_63_102_106,thermokarst
 slope instability,IPCC_2_63_102_107,slope instability
Ocean Heat Content,IPCC_2_63_104_108,ocean heat content
Ice cores,IPCC_2_63_105_109,ice cores
 Sediment cores,IPCC_2_63_105_110,sediment cores
reef growth,IPCC_2_67_109_111,reef growth
Atlantic Meridional Overturning Circulation (AMOC),IPCC_2_69_110_112,atlantic meridional overturning circulation (amoc)
Sediment cores,IPCC_2_70_112_113,sediment cores
Seasonal variations in atmospheric CO2 concentration,IPCC_2_74_116_114,seasonal variations in atmospheric co2 concentrations
Expansion of oligotrophic subtropical gyres of the Atlantic and Pacific Oceans,IPCC_2_74_117_115,expansion of oligotrophic subtropical gyres of the atlantic and pacific oceans
Phytoplankton abundance,IPCC_2_74_118_116,phytoplankton abundance
Clorophyll concentration,IPCC_2_75_119_117,clorophyll concentration
 Phytoplankton community structure,IPCC_2_75_119_118,phytoplankton community structure
Distribution of species,IPCC_2_75_120_119,distribution of species
El niño-southern oscillation (ENSO) index,IPCC_2_76_122_120,el niño-southern oscillation (enso) index
 Changes in phytoplankton phenology,IPCC_2_76_122_121,changes in phytoplankton phenology
Ocean-colour,IPCC_2_76_123_122,ocean-colour
Normalized Difference Vegetation INDEX (NDVI),IPCC_2_78_126_123,normalized difference vegetation index (ndvi)
Northernmost location of the treeline,IPCC_2_78_127_124,northernmost location of the treeline
Fraction of Absorbed Photosynthetically Active Radiation (FAPAR),IPCC_2_79_128_125,fraction of absorbed photosynthetically active radiation (fapar)
 Leaf Area Index,IPCC_2_79_128_126,leaf area index (lai)
Atmospheric CO2 concentrations,IPCC_2_81_132_127,atmospheric co2 concentrations
 Ocenan pH,IPCC_2_81_132_128,ocenan ph
North Atlantic Oscillation NAO Index,IPCC_2_84_139_129,north atlantic oscillation (nao) index
 Northern Annular Mode NAM Index,IPCC_2_84_139_130,northern annular mode (nam) index
Southern Annular Mode (SAM) Index,IPCC_2_85_141_131,southern annular mode (sam) index
Sea Surface Temperature (SST Index),IPCC_2_86_146_132,sea surface temperature (sst)
 Oceanic Niño INDEX (ONI),IPCC_2_86_146_133,oceanic niño index (oni)
 Southern Oscillation Index (SOI),IPCC_2_86_146_134,southern oscillation index (soi)
 Marine sediment cores,IPCC_2_89_153_135,marine sediment cores
Pacific Decadal Oscillation (PDO) Index,IPCC_2_89_154_136,pacific decadal oscillation (pdo)
 Inter-decadal Pacific Oscillation (IPO) Index,IPCC_2_89_154_137,inter-decadal pacific oscillation (ipo) index
Atlantic Multi-decadal Variability (AMV) Index,IPCC_2_90_158_138,atlantic multi-decadal variability (amv) index
 Precipitation,IPCC_3_8_164_139,precipitation
Volcanic activity,IPCC_3_17_173_140,volcanic activity
 GHG changes,IPCC_3_17_173_141,ghg changes
 aerosol changes,IPCC_3_17_173_142,aerosol changes
Sea Surface Temperature (SST),IPCC_3_22_174_143,sea surface temperature (sst)
Tree rings,IPCC_3_27_176_144,tree rings
Hadley circulation cell,IPCC_3_37_179_145,hadley circulation cell
Sea Ice Thermodynamic,IPCC_3_45_183_146,sea ice thermodynamic
Ocean Temperature,IPCC_3_51_187_147,ocean temperature
 Ocean Heat Content,IPCC_3_51_187_148,ocean heat content
atmospheric CO2 concentration,IPCC_3_64_190_149,atmospheric co2 concentrations
 atmosphere-land CO2 fluxes,IPCC_3_64_190_150,atmosphere-land co2 fluxes
 leaf area INDEX,IPCC_3_64_190_151,leaf area index (lai)
 Land-Use and Management,IPCC_3_64_190_152,land-use and management
 Wildfires,IPCC_3_64_190_153,wildfires
Leaf Area Index,IPCC_3_65_191_154,leaf area index (lai)
North Atlantic Oscillation NAO,IPCC_3_67_194_155,north atlantic oscillation (nao) index
 Northern Annular Mode NAM,IPCC_3_67_194_156,northern annular mode (nam) index
Indian Ocean Dipole Index (IOD),IPCC_3_78_202_157,indian ocean dipole index (iod)
Indian ocean Basin (IOB) Index,IPCC_3_78_203_158,indian ocean basin (iob) index
 Pacific Decadal Variability (PDV),IPCC_3_78_203_159,pacific decadal variability (pdv)
Pacific Decadal Oscillation (PDO),IPCC_3_80_205_160,pacific decadal oscillation (pdo)
 Indian Ocean Dipole (IPO),IPCC_3_80_205_161,indian ocean dipole (ipo)
Pacific Decadal Variability (PDV),IPCC_3_80_206_162,pacific decadal variability (pdv)
Pacific Decadal Variability (PDV) Index,IPCC_3_81_208_163,pacific decadal variability (pdv)
 Atlantic Multi-decadal Variability (AMV),IPCC_3_83_210_164,atlantic multi-decadal variability (amv) index
Sea Surface Temperature (SST) Index,IPCC_3_84_211_165,sea surface temperature (sst)
Ocean Salinity,IPCC_3_84_212_166,ocean salinity
global surface air temperature (GSAT),IPCC_4_7_219_167,global surface air temperature (gsat)
 global land precipitation,IPCC_4_7_219_168,global land precipitation
 Arctic sea ice area (SIA),IPCC_4_7_219_169,arctic sea ice area
 the Atlantic Meridional Overturning Circulation (AMOC),IPCC_4_8_220_170,atlantic meridional overturning circulation (amoc)
 global mean ocean surface pH,IPCC_4_8_220_171,global mean ocean surface ph
 carbon uptake by land and ocean,IPCC_4_8_220_172,carbon uptake by land and ocean
 Northern and Southern Annular Modes (NAM and SAM),IPCC_4_8_220_173,northern and southern annular modes (nam and sam)
 El Niño–Southern Oscillation (ENSO),IPCC_4_8_220_174,el niño-southern oscillation (enso) index
Precipitation Index,IPCC_4_8_221_175,precipitation index
 Circulation Index,IPCC_4_8_221_176,circulation index
 Atlantic Meridional Overturning Circulation (AMOC),IPCC_4_18_229_177,atlantic meridional overturning circulation (amoc)
 ocean pH,IPCC_4_18_229_178,ocean ph
Northern Annular Mode NAM,IPCC_4_26_231_179,northern annular mode (nam) index
 Sea Surface Temperature (SST),IPCC_4_26_231_180,sea surface temperature (sst)
"el niño-southern oscillation (enso) index
",IPCC_4_27_234_181,el niño-southern oscillation (enso) index
land monsoon precipitation INDEX,IPCC_4_34_236_182,land monsoon precipitation index
 Northern Hemisphere summer monsoon circulation INDEX,IPCC_4_34_236_183,northern hemisphere summer monsoon circulation index
Northern Annular Mode NAM Index,IPCC_4_35_237_184,northern annular mode (nam) index
El Niño–Southern Oscillation (ENSO) Bjerknes Index,IPCC_4_37_241_185,el niño-southern oscillation (enso) index bjerknes index
changes in mean precipitation,IPCC_4_49_249_186,changes in mean precipitation
 contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249_187,contrast of mean precipitation between dry and wet regions and between dry and wet seasons
Global Land Monsoon Precipitation INDEX,IPCC_4_51_250_188,land monsoon precipitation index
Annular Mode Index,IPCC_4_51_251_189,annular mode index
Land-Use CO2 Emissions,IPCC_4_79_266_190,land-use co2 emissions
 fossil CO2 Emissions,IPCC_4_79_266_191,fossil co2 emissions
 Non-CO2 fossil fuel emissions,IPCC_4_79_266_192,non-co2 fossil-fuel emissions
 Land-use related non-CO2 emissions,IPCC_4_79_266_193,land-use related non-co2 emissions
 CO2 Concentration,IPCC_4_79_266_194,co2 concentration
Ice Core Measurements,IPCC_5_14_270_195,ice core measurements
Sink rate,IPCC_5_19_272_196,sink rate
El Niño–Southern Oscillation (ENSO) Index,IPCC_5_36_278_197,el niño-southern oscillation (enso) index
15N/14N isotope ratio,IPCC_5_36_279_198,15n/14n isotope ratio
 position of 15N atom in atmospheric N2O,IPCC_5_36_279_199,position of 15n atom in atmospheric n2o
Atmospheric inversions,IPCC_5_40_281_200,atmospheric inversions
Interannual variability of primary production (PP),IPCC_5_57_287_201,interannual variability of primary production (pp)
Global carbon budget,IPCC_5_70_289_202,global carbon budget
Global dust deposition,IPCC_6_16_296_203,global dust deposition
global annual mean tropospheric ozone burden,IPCC_6_22_300_204,global annual mean tropospheric ozone burden
Tropospheric NO2 abundance,IPCC_6_23_302_205,tropospheric no2 abundance
Satellite Formaldehyde (HCHO) observations,IPCC_6_26_304_206,satellite formaldehyde (hcho) observations
Sulphate in precipitation,IPCC_6_30_309_207,sulphate in precipitation
Surface warming,IPCC_6_56_315_208,surface warming
Sectoral emissions density,IPCC_6_63_319_209,sectoral emissions density
population-weighted PM2.5 concentrations,IPCC_6_73_321_210,population-weighted pm2.5 concentrations
 population-weighted ozone concentrations,IPCC_6_73_321_211,population-weighted ozone concentrations
transient climate response TCR,IPCC_7_9_323_212,transient climate response tcr
 equilibrium climate sensitivity ECS,IPCC_7_9_323_213,equilibrium climate sensitivity ecs
Surface turbulent fluxes,IPCC_7_17_328_214,surface turbulent fluxes
Aerosol Index,IPCC_7_29_329_215,aerosol index
GHS effective radiative forcing,IPCC_7_44_330_216,ghs effective radiative forcing
 transient climate response TCR,IPCC_7_44_330_217,transient climate response tcr
Antarctic Ice Sheet loss,IPCC_7_55_334_218,antarctic ice sheet loss
Net climate feedback,IPCC_7_56_335_219,net climate feedback
 Planck temperature response,IPCC_7_56_335_220,planck temperature response
Sea Surface Temperature SST,IPCC_7_67_343_221,sea surface temperature (sst)
Global Energy Budget,IPCC_7_77_351_222,global energy budget
global surface temperature,IPCC_7_82_356_223,global mean surface temperature (gmst)
 TOA energy budget,IPCC_7_82_356_224,toa energy budget
profile of effective radiative forcing (ERF),IPCC_7_90_359_225,profile of effective radiative forcing (erf)
 emission of particular compounds,IPCC_7_90_359_226,emission of particular compounds
radiative forcing,IPCC_7_91_360_227,radiative forcing
 absolute global forcing potential (AGFP),IPCC_7_91_360_228,absolute global forcing potential (agfp)
 global surface temperature,IPCC_7_91_360_229,global mean surface temperature (gmst)
 absolute global temperature change potential (AGTP),IPCC_7_91_360_230,absolute global temperature change potential (agtp)
changes in precipitation frequency and intensity,IPCC_8_27_367_231,changes in precipitation frequency and intensity
Precipitation,IPCC_8_28_370_232,precipitation
Snowfall,IPCC_8_28_371_233,snowfall
Leaf Area Index LAI,IPCC_8_30_372_234,leaf area index (lai)
Tree ring reconstructions,IPCC_8_33_374_235,tree rings
Soil Moisture,IPCC_8_33_375_236,soil moisture
South Pacific Convergence Zone (SPCZ),IPCC_8_39_378_237,south pacific convergence zone (spcz)
 Inter-tropical Convergence Zone (ITCZ) narrowing,IPCC_8_39_378_238,inter-tropical convergence zone (itcz) narrowing
Rainfall,IPCC_8_42_382_239,rainfall
poleward shifts in the South Atlantic Convergence Zone (SACZ),IPCC_8_45_390_240,poleward shifts in the south atlantic convergence zone (sacz)
land rainfall over MC,IPCC_8_46_393_241,land rainfall over mc
 marine cloudiness over MC,IPCC_8_46_393_242,marine cloudiness over mc
 surface moisture flux convergence,IPCC_8_46_393_243,surface moisture flux convergence
Blocking Index,IPCC_8_47_395_244,blocking index
Water Vapour Residence Time,IPCC_8_53_397_245,water vapour residence time
Plant Water Use Efficiency (WUE),IPCC_8_65_401_246,plant water use efficiency (wue)
 Leaf area Index,IPCC_8_65_401_247,leaf area index (lai)
Palmer Drought Severity INDEX,IPCC_8_66_403_248,palmer drought severity index (pdsi)
Sea Surface Temperature,IPCC_8_71_406_249,sea surface temperature (sst)
Rainfall variability,IPCC_8_77_414_250,rainfall variability
Tropical precipitation,IPCC_8_83_420_251,tropical precipitation
atmospheric internal variability,IPCC_8_88_422_252,atmospheric internal variability
 Sea surface temperature (SST),IPCC_8_88_422_253,sea surface temperature (sst)
volcanic eruptions,IPCC_8_90_424_254,volcanic eruptions
 global surface air temperature (GSAT),IPCC_9_11_426_255,global surface air temperature (gsat)
Sea surface temperature (SST),IPCC_9_27_430_256,sea surface temperature (sst)
Ocean heat content OHC,IPCC_9_37_432_257,ocean heat content ohc
aRCTIC SEA ICE AREA,IPCC_9_37_433_258,arctic sea ice area
Summer North Atlantic Oscilation Index,IPCC_9_47_438_259,north atlantic oscillation (nao) index
 Greenland Blocking Index,IPCC_9_47_438_260,greenland blocking index
Bedrock topography,IPCC_9_48_440_261,bedrock topography
Grounding line retreat,IPCC_9_55_443_262,grounding line retreat
Retreat of Ice Sheet,IPCC_9_59_445_263,retreat of ice sheet
Glaciar mass loss,IPCC_9_65_447_264,glacier mass loss
Lake sediments,IPCC_9_66_448_265,lake sediments
Speleotherm records,IPCC_9_71_451_266,speleotherm records
Leaf area Index,IPCC_9_76_452_267,leaf area index (lai)
Tide gauge,IPCC_9_85_462_268,tide gauge
global mean sea level (GMSL),IPCC_9_96_465_269,global mean sea level (gmsl)
Power dissipation INDEX,IPCC_9_104_471_270,power dissipation index
Spatiotemporal variability of meteorological parameters,IPCC_10_24_481_271,spatiotemporal variability of meteorological parameters
Soil moisture,IPCC_10_31_483_272,soil moisture
 leaf area index,IPCC_10_31_483_273,leaf area index (lai)
 surface albedo,IPCC_10_31_483_274,surface albedo
Sedimentary records,IPCC_10_56_492_275,sedimentary records
Atlantic Multi-decadal Variability AMV,IPCC_10_58_493_276,atlantic multi-decadal variability (amv) index
 temperature,IPCC_10_77_504_277,temperature
Extreme temperatures,IPCC_11_24_511_278,extreme temperatures
Daily precipitation,IPCC_11_25_512_279,daily precipitation
 Daily temperature,IPCC_11_25_512_280,daily temperature
Daily temperature,IPCC_11_37_520_281,daily temperature
 mean air temperature,IPCC_11_39_524_282,mean air temperature
" Changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526_283,"changes in the number of warm nights, warm days, cold nights, and cold days"
 Warm spell duration index (WSDI),IPCC_11_40_526_284,warm spell duration index (wsdi)
Combined extreme index (CEI),IPCC_11_40_527_285,combined extreme index (cei)
Minimum temperature,IPCC_11_44_532_286,minimum temperature
reduction in post-volcanic eruption extreme precipitation,IPCC_11_50_537_287,reduction in post-volcanic eruption extreme precipitation
 Simple Daily Intensity INDEX (SDII),IPCC_11_50_537_288,simple daily intensity index (sdii)
Highest five day precipitation amount (Rx5day),IPCC_11_52_540_289,highest five day precipitation amount (rx5day)
 Highest one day precipitation amount (rx1day),IPCC_11_52_540_290,highest one day precipitation amount (rx1day)
 days of heavy precipitation,IPCC_11_53_541_291,days of heavy precipitation
  annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541_292,annual precipitation from daily precipitation > 95th percentile (r95p)
Standardized Precipitation Index (SPI),IPCC_11_58_543_293,standardized precipitation index (spi)
 Consecutive dry days (CDD),IPCC_11_58_543_294,consecutive dry days (cdd)
 Precipitation deciles and percentiles,IPCC_11_58_543_295,precipitation deciles and percentiles
 Potential evaporation anomalies,IPCC_11_58_543_296,potential evaporation anomalies
 Evaporative Demand Drought Index (EDDI),IPCC_11_58_543_297,evaporative demand drought index (eddi)
 Soil moisture anomalies (SMA),IPCC_11_58_543_298,soil moisture anomalies
 Standardized Soil Moisture Index (SSMI),IPCC_11_58_543_299,standardized soil moisture index (ssmi)
 Standardized Runoff Index (SRI),IPCC_11_58_543_300,standardized runoff index (sri)
 Standardized Streamflow Index (SSI),IPCC_11_58_543_301,standardized streamflow index (ssi)
 threshold level methods,IPCC_11_58_543_302,threshold level methods
 Standardized Groundwater Index (SGI),IPCC_11_58_543_303,standardized groundwater index (sgi)
 Standardized Precipitation Evapotranspiration Index (SPEI),IPCC_11_58_543_304,standardized precipitation evapotranspiration index (spei)
 Palmer Drought Severity Index (PDSI),IPCC_11_58_543_305,palmer drought severity index (pdsi)
 precipitation deficits,IPCC_11_58_544_306,precipitation deficits
 excess of atmospheric evaporative demand (AED),IPCC_11_58_544_307,excess of atmospheric evaporative demand (aed)
 soil moisture deficits,IPCC_11_58_544_308,soil moisture deficits
 hydrological deficits,IPCC_11_58_544_309,hydrological deficits
 atmospheric evaporative demand (AED),IPCC_11_60_547_310,atmospheric evaporative demand (aed)
Palmer Drought Severity INDEX (PDSI),IPCC_11_60_549_311,palmer drought severity index (pdsi)
 Standardized Precipitation Evapotranspiration INDEX (SPEI),IPCC_11_60_549_312,standardized precipitation evapotranspiration index (spei)
standardized precipitation index,IPCC_11_60_550_313,standardized precipitation index (spi)
 number of consecutive dry days (CDD),IPCC_11_60_550_314,number of consecutive dry days (cdd)
 total soil moisture,IPCC_11_60_550_315,total soil moisture
 soil moisture-based drought events,IPCC_11_60_550_316,soil moisture-based drought events
 surface soil moisture,IPCC_11_60_550_317,surface soil moisture
 water-balance estimates,IPCC_11_60_550_318,water-balance estimates
 changes in low flows,IPCC_11_60_550_319,changes in low flows
 changes in mean streamflow,IPCC_11_60_550_320,changes in mean streamflow
pan evaporation measurements,IPCC_11_61_551_321,pan evaporation measurements
 Penman-Monteith AED (atmospheric evaporative demand),IPCC_11_61_551_322,penman-monteith aed (atmospheric evaporative demand)
Genesis Potential INDEX,IPCC_11_78_568_323,genesis potential index
increase in global TC maximum surface wind speeds,IPCC_11_79_569_324,increase in global tc maximum surface wind speeds
 power dissipation INDEX,IPCC_11_79_569_325,power dissipation index
 Accumulated Cyclone Energy (ACE),IPCC_11_79_569_326,accumulated cyclone energy (ace)
 Consecutive Dry Days (CDD),IPCC_11_93_579_327,consecutive dry days (cdd)
standardized runoff index,IPCC_11_94_580_328,standardized runoff index (sri)
Heat Index (HI),IPCC_12_7_581_329,heat index (hi)
daily maximum tempreature above 35°C,IPCC_12_11_589_330,daily maximum tempreature above 35°c
Climate velocity,IPCC_12_14_593_331,climate velocity
accumulated seasonal heat,IPCC_12_14_594_332,accumulated seasonal heat
Extreme canopy temperatures,IPCC_12_15_596_333,extreme canopy temperatures
 2 m air temperatures,IPCC_12_15_596_334,2 m air temperatures
 heat stress (humidity and temperature),IPCC_12_15_596_335,heat stress (humidity and temperature)
10-day  cumulative precipitation,IPCC_12_17_597_336,10-day cumulative precipitation
precipitation intensity-duration thresholds,IPCC_12_17_598_337,precipitation intensity-duration thresholds
 thresholds related to antecedent wet periods,IPCC_12_17_598_338,thresholds related to antecedent wet periods
 thresholds related to antecedent extreme rainfall intensities,IPCC_12_17_598_339,thresholds related to antecedent extreme rainfall intensities
Changes in soil moisture,IPCC_12_17_599_340,changes in soil moisture
 Changes in surface water,IPCC_12_17_599_341,changes in surface water
 Water table depth,IPCC_12_17_599_342,water table depth
 rooting depth,IPCC_12_17_599_343,rooting depth
 changes in precipitation,IPCC_12_17_599_344,changes in precipitation
 Changes in evapotranspiration demand,IPCC_12_17_599_345,changes in evapotranspiration demand
 Changes in groundwater,IPCC_12_17_599_346,changes in groundwater
Water flow volume,IPCC_12_17_600_347,water flow volume
 water intermittency thresholds,IPCC_12_17_600_348,water intermittency thresholds
consecutive dry days (CDD),IPCC_12_17_601_349,consecutive dry days (cdd)
 Soil moisture,IPCC_12_17_601_350,soil moisture
 standardized precipitation index,IPCC_12_17_601_351,standardized precipitation index (spi)
 standardized runoff index,IPCC_12_17_601_352,standardized runoff index (sri)
 standardized precipitation evapotranspiration index,IPCC_12_17_601_353,standardized precipitation evapotranspiration index (spei)
 Low-flows days,IPCC_12_17_601_354,low-flows days
 Extreme low runoff,IPCC_12_17_601_355,extreme low runoff
Lightning frequency,IPCC_12_18_602_356,lightning frequency
 Fuel aridity,IPCC_12_18_602_357,fuel aridity
 Snow cover,IPCC_12_18_602_358,snow cover
 local wind circulations,IPCC_12_18_602_359,local wind circulations
snow water equivalent at key seasonal dates,IPCC_12_19_604_360,snow water equivalent at key seasonal dates
 the fraction of precipitation falling as snow,IPCC_12_19_604_361,fraction of precipitation falling as snow
 the first and last days of snow cover,IPCC_12_19_604_362,first and last days of snow cover
 cold season temperatures,IPCC_12_19_604_363,cold season temperatures
threshold when the local land elevation falls below the local mean higher high water (MHHW),IPCC_12_20_605_364,threshold when the local land elevation falls below the local mean higher high water (mhhw)
 threshold when flooding occurs about once every two weeks,IPCC_12_20_605_365,threshold when flooding occurs about once every two weeks
 rate of RSLR (relative sea level rise),IPCC_12_20_605_366,rate of rslr (relative sea level rise)
magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,IPCC_12_20_606_367,magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future
 beach erosion volume due to the 100-year recurrence storm wave height,IPCC_12_20_606_368,beach erosion volume due to the 100-year recurrence storm wave height
 full exceedance probability distribution of coastal erosion volume,IPCC_12_20_606_369,full exceedance probability distribution of coastal erosion volume
 cumulative storm energy and storm power index,IPCC_12_20_606_370,cumulative storm energy and storm power index
climatic impact-driver (cid) magnitude,IPCC_12_22_609_371,climatic impact-driver (cid) magnitude
climatic impact-driver (cid) frequency,IPCC_12_22_609_372,climatic impact-driver (cid) frequency
 climatic impact-driver (cid) duration,IPCC_12_22_609_373,climatic impact-driver (cid) duration
 climatic impact-driver (cid) timing,IPCC_12_22_609_374,climatic impact-driver (cid) timing
 climatic impact-driver (cid) spatial extent,IPCC_12_22_609_375,climatic impact-driver (cid) spatial extent
Change in # days Tx>35°C,IPCC_12_24_613_376,change in # days tx>35°c
 Change in # days HI>41°C,IPCC_12_24_613_377,change in # days hi>41°c
 Change in # droughts,IPCC_12_24_613_378,change in # droughts
 Change in # soil moisture,IPCC_12_24_613_379,change in # soil moisture
 change in mean wind,IPCC_12_24_613_380,change in mean wind
 change in extreme total water level,IPCC_12_24_613_381,change in extreme total water level
Areas below calcium carbonate saturation thresholds,IPCC_12_24_615_382,areas below calcium carbonate saturation thresholds
Heat Index HI>41°C,IPCC_12_27_618_383,heat index (hi)
Drought Index (DI),IPCC_12_43_640_384,drought index (di)
Drought Frequency (DF),IPCC_12_43_641_385,drought frequency (df)
Forest Fire Danger INDEX (FFDI),IPCC_12_43_642_386,forest fire danger index (ffdi)
C-Haines Index,IPCC_12_43_643_387,c-haines index
 Forest fire danger Index (FFDI),IPCC_12_43_643_388,forest fire danger index (ffdi)
combined sea level due to storm surge and tide,IPCC_12_45_645_389,combined sea level due to storm surge and tide
growing degree days,IPCC_12_46_648_390,growing degree days
 cooling degree days,IPCC_12_46_648_391,cooling degree days
