indicator_harmonized,indic_ids,ipbes_extracted
population size,IPBES_GA_2.3_40_140;IPBES_SUA_2_97_80,1
predatory fish biomass,IPBES_GA_2.2_37_70,1
presence of regulations requiring recovery of depleted species,IPBES_GA_1_52_19,1
prevalence of certain species,IPBES_SUA_2_97_80,1
prevalence of knowledge about seasonal cycles in their communities,IPBES_SUA_2_97_80,1
prevented emissions and uptake of greenhouse gases by ecosystems,IPBES_GA_2.3_42_143,1
prey fish biomass,IPBES_GA_2.2_37_70,1
production,IPBES_GA_4_34_176,1
production of fuelwood,IPBES_GA_2.3_42_143,1
proportion of agricultural area under productive and sustainable agriculture,IPBES_GA_1_52_19,1
proportion of area of forest production under fsc and pefc certification,IPBES_GA_1_52_19,1
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,IPBES_IAS_5_120_132,1
proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites),IPBES_GA_3_26_354,1
proportion of cropland,IPBES_IAS_2_5_11,1
proportion of domesticated breeds categorized as at risk or extinct,IPBES_GA_3_44_371,1
proportion of fish stocks within biologically sustainable levels,IPBES_GA_1_52_19;IPBES_GA_2.2_37_70;IPBES_GA_2.2_70_120;IPBES_GA_4_152_225;IPBES_GA_3_15_329;IPBES_GA_3_72_395,1
proportion of known species assessed through the red list index,IPBES_GA_1_52_19;IPBES_GA_3_49_379,1
proportion of local breeds classified as being at risk of extinction,IPBES_GA_1_52_19,1
proportion of population exposed to air pollution,IPBES_VA_2_38_28,1
proportion of predatory fish,IPBES_GA_1_52_19,1
proportion of sites in the world database on protected areas reporting shared governance,IPBES_GA_3_38_364,1
proportion of the rural population who live within 2 km of an all-season road,IPBES_GA_3_128_421,1
proportion of unpalatable plants on rangelands,IPBES_GA_2.2_65_113,1
proportion of urban area,IPBES_IAS_2_5_11,1
proportion of urban population,IPBES_GA_2_24_29,1
prospective inclusion of other native taxa and threatened habitats,IPBES_IAS_6_21_146,1
protected area connectedness (parc-connectedness) index,IPBES_GA_1_52_19,1
protected area coverage,IPBES_GA_1_52_19,1
protected area coverage of key biodiversity areas,IPBES_GA_1_52_19;IPBES_GA_3_55_389;IPBES_GA_3_72_395,1
protected area coverage of marine and coastal areas,IPBES_GA_3_72_395,1
"protected area coverage of terrestrial, marine and freshwater ecoregions",IPBES_GA_1_52_19,1
protected area management effectiveness (pame),IPBES_GA_1_52_19,1
protected area representativeness index,IPBES_GA_1_52_19,1
protection of key biodiversity areas,IPBES_GA_2_24_29,1
proximity of people and nature,IPBES_GA_2.3_42_143,1
