Indicators harmonized,Sources,Elements,Subelements,Frequency of use,MEA/assess,Indicators original name,Elements_2,Subelements_2
retention and prevented emissions of air pollutants by ecosystems,IPBES,Ecosystem services,Nature contribution,1,assessment,Retention and prevented emissions of air pollutants by ecosystems,,
retreat of ice sheet,IPCC,ecosystems,Change in ecosystems,1,assessment,Retreat of Ice Sheet,,
revenue from bioenergy production,IPBES,Human assets,State of economy,1,assessment,Revenue from bioenergy production,Ecosystem services,Nature contribution
revenue from forestry,IPBES,Ecosystem services,Specific monetary valuation of nature contribution,1,assessment,Revenue from forestry,,
revenue generated and finance mobilized from biodiversity relevant economic instruments,SDG;IPBES,Governance,Nature-based funding,2,both,revenue generated and finance mobilized from biodiversity-relevant economic instruments,,
river fragmentation index,GBF,ecosystems,State of ecosystems (integrity),1,mea,River Fragmentation Index,,State of ecosystems (freshwater/coastal)
road construction,GEO,Human assets,Infrastructure (build-up area),1,assessment,road construction,,
rooting depth,IPCC,ecosystems,Abiotic conditions,1,assessment,rooting depth,,
rule of law index,IPBES,Governance,Legislation/governance,1,assessment,Rule of Law Index,,
runoff,IPCC,Direct drivers,Pollution,1,assessment,runoff,,
safe level of annual average pm exposure,GEO,Direct drivers,Pollution,1,assessment,safe level of annual average PM exposure,,
salinity,IPCC,ecosystems,Abiotic conditions,1,assessment,salinity; Salinity,,
sanitation and hygiene,GEO,Human well-being,Healthy living conditions,1,assessment,sanitation and hygiene,,
satellite formaldehyde (hcho) observations,IPCC,Direct drivers,Climate change,1,assessment,Satellite Formaldehyde (HCHO) observations,,
satellite observations of precipitation,IPCC,ecosystems,Abiotic conditions,1,assessment,satellite observations of precipitation,,
sea ice extent,IPCC,ecosystems,State of ecosystems,1,assessment,sea ice extent; Sea ice extent/area,,
sea ice thermodynamic,IPCC,ecosystems,State of ecosystems,1,assessment,Sea Ice Thermodynamic,,
sea level,IPCC;GEO,ecosystems,State of ecosystems,2,assessment,Sea level; sea level,,
sea level change,IPCC,ecosystems,Change in ecosystems,1,assessment,sea level change,,
sea level pressure and winds,IPCC,ecosystems,Abiotic conditions,1,assessment,Sea level pressure and winds,,
sea level rise,GEO,Direct drivers,Climate change,1,assessment,sea level rise,ecosystems,State of ecosystems (marine)
sea surface air temperature,GEO,ecosystems,Abiotic conditions,1,assessment,sea surface air temperature,,
sea surface temperature (sst),IPCC;GEO,ecosystems,Abiotic conditions,2,assessment,Sea Surface Temperature (SST Index); Sea Surface Temperature (SST); Sea Surface Temperature (SST) Index; Sea Surface Temperature SST; Sea Surface Temperature; Sea surface temperature (SST); sea surface temperature,,
seafood availability due to ocean acidification,IPBES,Ecosystem services,Nature contribution,1,assessment,Seafood availability due to ocean acidification,Direct drivers,Pollution
seafood produced (kcal),IPBES,Ecosystem services,Nature contribution,1,assessment,Seafood produced (kcal),,
seagrass meadow area,IPBES,ecosystems,State of ecosystems (freshwater/coastal),1,assessment,Seagrass meadow area; seagrass meadow area,,
seasonal cycle of co2,IPCC,ecosystems,Abiotic conditions,1,assessment,Seasonal cycle of CO2,,
seasonal variations in atmospheric co2 concentrations,IPCC,ecosystems,Abiotic conditions,1,assessment,Seasonal variations in atmospheric CO2 concentration,,
seasonality and thickness,IPCC,ecosystems,State of ecosystems,1,assessment,seasonality and thickness,,
sectoral emissions density,IPCC,Direct drivers,Climate change,1,assessment,Sectoral emissions density,,
sediment cores,IPCC,ecosystems,State of ecosystems,1,assessment,Sediment cores,,
sedimentary records,IPCC,ecosystems,Abiotic conditions,1,assessment,Sedimentary records,,
september sea ice extent,IPCC,ecosystems,State of ecosystems,1,assessment,September sea ice extent,,
services provided by ecosystems,GBF,Ecosystem services,Nature contribution,1,mea,Services provided by ecosystems,,
severe global bleaching events,IPBES,ecosystems,Change in ecosystems,1,assessment,severe global bleaching events,Direct drivers,Climate change
sex-disaggregated burden-of-disease data,GEO,Human well-being,Healthy living conditions,1,assessment,sex-disaggregated burden-of-disease data,,
sh monsoons,IPCC,ecosystems,Abiotic conditions,1,assessment,SH monsoons,,
share of low-carbon options,GEO,Knowledge systems,Specific information on human-nature relationship,1,assessment,share of low-carbon options,,
share of main groups of species in fish trade in terms of value,IPBES,Ecosystem services,Specific monetary valuation of nature contribution,1,assessment,Share of main groups of species in fish trade in terms of value,,
"share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF;SDG;IPBES,Human well-being,Equity,3,both,"share of women among owners or rights-bearers of agricultural land, by type of tenure",,
sharing and trading institutions,IPBES,Knowledge systems,ILK,1,assessment,sharing and trading institutions,,
ship calls,IPBES,Human assets,Infrastructure (build-up area),1,assessment,Ship calls,,
shoreline change (indicator of coastal erosion),IPCC,ecosystems,State of ecosystems (freshwater/coastal),1,assessment,shoreline change (indicator of coastal erosion),,
shoreline retreat by mid- and end of century,IPCC,ecosystems,State of ecosystems (freshwater/coastal),1,assessment,Shoreline retreat by mid- and end of century,Direct drivers,Climate change
shrinking of the arctic ice cover,GEO,ecosystems,State of ecosystems,1,assessment,shrinking of the Arctic ice cover,,
simple daily intensity index (sdii),IPCC,ecosystems,Abiotic conditions,1,assessment,Simple Daily Intensity INDEX (SDII),,
simple precipitation intensity index,IPCC,ecosystems,Abiotic conditions,1,assessment,Simple precipitation intensity index,,
simulated global mean surface air temperature (gsat),IPCC,ecosystems,Abiotic conditions,1,assessment,simulated Global mean surface air temperature (GSAT),,
simulated global mean surface air temperature (gsat) anomalies,IPCC,ecosystems,Abiotic conditions,1,assessment,simulated Global mean surface air temperature (GSAT) anomalies,,
sink rate,IPCC,ecosystems,Abiotic conditions,1,assessment,Sink rate,,
slope instability,IPCC,ecosystems,Abiotic conditions,1,assessment,slope instability,,
smoking,GEO,Human well-being,Healthy living conditions,1,assessment,smoking,,
snow cover,IPCC,ecosystems,Abiotic conditions,1,assessment,Snow cover,ecosystems,State of ecosystems
snow water equivalent at key seasonal dates,IPCC,ecosystems,Abiotic conditions,1,assessment,snow water equivalent at key seasonal dates,ecosystems,State of ecosystems
snowfall,IPCC,ecosystems,Abiotic conditions,1,assessment,Snowfall,,
so2 emissions,GEO,Direct drivers,Pollution,1,assessment,SO2 emissions,,
social progress index,IPBES,Knowledge systems,Information on society and socio-economics,1,assessment,Social progress index,Human well-being,Wellness
social welfare function (swf),IPBES,Knowledge systems,Information on society and socio-economics,1,assessment,social welfare function (SWF),,
societal behaviour,GEO,Knowledge systems,Information on society and socio-economics,1,assessment,societal behaviour,,
soil carbon sequestration,GEO,Ecosystem services,Nature contribution,1,assessment,soil carbon sequestration,,
soil moisture,IPCC,ecosystems,Abiotic conditions,1,assessment,Soil Moisture; Soil moisture; Soil moisture (SM),,
soil moisture anomalies,IPCC,ecosystems,Abiotic conditions,1,assessment,Soil moisture anomalies (SMA); Soil moisture anomalies,,
soil moisture deficits,IPCC,ecosystems,Abiotic conditions,1,assessment,soil moisture deficits,,
soil moisture-based drought events,IPCC,ecosystems,Abiotic conditions,1,assessment,soil moisture-based drought events,,
soil organic carbon,IPBES,ecosystems,Abiotic conditions,1,assessment,Soil organic carbon; Soil organic carbon (correlative model); Soil organic carbon (mechanistic models),,
soil organic carbon (soc) stocks,GBF;GEO,ecosystems,Abiotic conditions,2,both,Changes in soil organic carbon stocks; trends in soil organic carbon stock,Ecosystem services,Nature contribution
soil quality impact on crop production,IPBES,ecosystems,Abiotic conditions,1,assessment,Soil quality impact on crop production,,
sounds associated with the forest,IPBES,Knowledge systems,ILK,1,assessment,sounds associated with the forest,Human well-being,Recreation
south pacific convergence zone (spcz),IPCC,ecosystems,Abiotic conditions,1,assessment,South Pacific Convergence Zone (SPCZ),,
southern annular mode (sam) index,IPCC,ecosystems,Abiotic conditions,1,assessment,Southern Annular Mode (SAM) Index,,
southern oscillation index (soi),IPCC,ecosystems,Abiotic conditions,1,assessment,Southern Oscillation Index (SOI),,
spatial densities of relational values in an area,IPBES,ecosystems,State of ecosystems (coverage),1,assessment,spatial densities of relational values in an area,,
spatial distribution of species,IPBES,Knowledge systems,ILK,1,assessment,Spatial distribution; spatial distribution of species,biodiversity,State of biodiversity
spatiotemporal variability of meteorological parameters,IPCC,ecosystems,Abiotic conditions,1,assessment,Spatiotemporal variability of meteorological parameters,,
spawning stock biomass (related to commercially exploited species),GBF,Ecosystem services,Nature contribution,1,mea,Spawning stock biomass (related to commercially exploited species),biodiversity,State of biodiversity
species abundance,GEO,biodiversity,State of biodiversity,1,assessment,species abundance,,
species area relationship,IPBES,biodiversity,State of biodiversity,1,assessment,Species Area Relationship,,
species condition index,IPBES,biodiversity,State of biodiversity,1,assessment,species Condition Index,,
species dispersal ability,GEO,biodiversity,State of biodiversity,1,assessment,species dispersal ability,,
species distribution area and shift,IPBES,biodiversity,State of biodiversity,1,assessment,Species distribution area and shift,biodiversity,Change in biodiversity
species growth rate,IPBES,biodiversity,State of biodiversity,1,assessment,species growth rate,,
species habitat index,GBF;IPBES,biodiversity,State of biodiversity,2,both,Species habitat Index; Species Habitat Index; Species habitat index; Species Habitat index; Species Habitat INDEX,,
species negatively impacting biodiversity,IPBES,Knowledge systems,Information on biodiversity,1,assessment,species negatively impacting biodiversity,biodiversity,Change in biodiversity
species occurrence records accessible through the global biodiversity information facility,GBF;IPBES,Knowledge systems,Information on biodiversity,2,both,Growth in species occurrence records accessible through the Global Biodiversity Information Facility; Growth in species occurrence records accessible through GBIF; Number of species occurrence records in the Global Biodiversity Information Facility,,
species protection index,GBF;IPBES,biodiversity,Species conservation,2,both,Species Protection Index; Species protection index,,
species represented in the barcode of life data system,IPBES,biodiversity,Genetic resources,1,assessment,Species represented in the barcode of life data system,,
species richness,IPBES,biodiversity,State of biodiversity,1,assessment,Species Richness; species richness,,
species richness per grid cell,IPBES,biodiversity,State of biodiversity,1,assessment,Species richness per grid cell; Species richness per grid cell (AIM),,
species status index,GBF;IPBES,biodiversity,State of biodiversity,2,both,"Species status index; Species Status Index; Species Status Information Index
; species status index; Species Status Information Index†",,
species threat abatement and restoration metric,GBF,biodiversity,Species conservation,1,mea,Species threat abatement and restoration metric,,
species used for medicine,IPBES,Knowledge systems,ILK,1,assessment,Species used for medicine; Fraction of species known to be medicinal,,
species with data included in the global biodiversity information facility,IPBES,Knowledge systems,Information on biodiversity,1,assessment,species with data included in the Global Biodiversity Information Facility,,
specific humidity,GEO,ecosystems,Abiotic conditions,1,assessment,specific humidity,,
speleothem records,IPCC,ecosystems,State of ecosystems,1,assessment,Speleothem records,,
speleotherm records,IPCC,ecosystems,Abiotic conditions,1,assessment,Speleotherm records,,
spread of alien species by pathway,IPBES,Direct drivers,Invasive alien species,1,assessment,Spread of alien species by pathway,,
stability of land use and land cover,IPBES,ecosystems,State of ecosystems (coverage),1,assessment,Stability of land use and land cover,,
standardized groundwater index (sgi),IPCC,ecosystems,Abiotic conditions,1,assessment,Standardized Groundwater Index (SGI),,
standardized precipitation evapotranspiration index (spei),IPCC,ecosystems,Abiotic conditions,1,assessment,Standardized Precipitation Evapotranspiration Index (SPEI); Standardized Precipitation Evapotranspiration INDEX (SPEI); standardized precipitation evapotranspiration index; Standardized Precipitation Evapotranspiration Index SPEI; Standardized precipitation evapotranspiration index,,
standardized precipitation index (spi),IPCC,ecosystems,Abiotic conditions,1,assessment,Standardized Precipitation Index (SPI); standardized precipitation index; Standardized Precipitation INDEX; Standardized Precipitation Index; Standardized precipitation index,,
standardized precipitation index accumulated over 6 months (spi-6),IPCC,ecosystems,Abiotic conditions,1,assessment,Standardized Precipitation Index accumulated over 6 months (SPI-6),,
standardized runoff index (sri),IPCC,ecosystems,Abiotic conditions,1,assessment,Standardized Runoff Index (SRI); standardized runoff index; Standardized runoff index,,
standardized soil moisture index (ssmi),IPCC,ecosystems,Abiotic conditions,1,assessment,Standardized Soil Moisture Index (SSMI); Standardized soil moisture index,,
standardized streamflow index (ssi),IPCC,ecosystems,Abiotic conditions,1,assessment,Standardized Streamflow Index (SSI); Standardized streamflow index,,
statistical capacity indicator for sustainable development goal monitoring,SDG;IPBES,Governance,National/international cooperation,2,both,Statistical capacity indicators; Statistical capacity indicator for Sustainable Development Goal monitoring,Knowledge systems,Information on society and socio-economics
status of an individual or species as native or alien,IPBES,Direct drivers,Invasive alien species,1,assessment,status of an individual or species as native or alien,,
status of key biodiversity areas,GBF,biodiversity,State of biodiversity,1,mea,Status of Key Biodiversity Areas; Status of key biodiversity areas,,
status of migratory species in trade,CMS,Knowledge systems,Information on biodiversity,1,mea,Status of migratory species in trade,Ecosystem services,Specific monetary valuation of nature contribution
stock status,GEO,Ecosystem services,Nature contribution,1,assessment,stock status,,
stock values of natural capital,IPBES,Ecosystem services,Specific monetary valuation of nature contribution,1,assessment,stock values of natural capital,,
stranded debris,GEO,Direct drivers,Pollution,1,assessment,stranded debris,,
strategies of relevance to migratory species developed and implemented for minimizing genetic erosion,CMS,Governance,Nature-based legislation,1,mea,Strategies of relevance to migratory species developed and implemented for minimizing genetic erosion,biodiversity,Genetic diversity
strength of people’s connection to the forest,IPBES,Knowledge systems,ILK,1,assessment,strength of people’s connection to the forest,,
strom tracks and jets,IPCC,Human assets,Infrastructure (build-up area),1,assessment,strom tracks and jets,,
structural and functional connectivity of habitat,IPBES,ecosystems,State of ecosystems (integrity),1,assessment,structural and functional connectivity of habitat,,
subsurface borehole temperature profiles,IPCC,ecosystems,Abiotic conditions,1,assessment,subsurface borehole temperature profiles,,
sudden stratospheric warmings,IPCC,ecosystems,Abiotic conditions,1,assessment,sudden stratospheric warmings,,
suicide mortality rate,SDG,Human well-being,Wellness,1,mea,Suicide mortality rate,,
sulphate in precipitation,IPCC,Direct drivers,Climate change,1,assessment,Sulphate in precipitation,,
summer arctic sea ice extent,GEO,ecosystems,State of ecosystems,1,assessment,summer Arctic sea-ice extent,,
surface albedo,IPCC,ecosystems,Abiotic conditions,1,assessment,surface albedo,,
surface and upper air temperatures,IPCC,ecosystems,Abiotic conditions,1,assessment,Surface and upper air temperatures,,
surface humidity,IPCC,ecosystems,Abiotic conditions,1,assessment,Surface humidity,,
surface moisture flux convergence,IPCC,ecosystems,Abiotic conditions,1,assessment,surface moisture flux convergence,,
surface soil moisture,IPCC,ecosystems,Abiotic conditions,1,assessment,surface soil moisture,,
surface turbulent fluxes,IPCC,ecosystems,Abiotic conditions,1,assessment,Surface turbulent fluxes,,
surface warming,IPCC,Direct drivers,Climate change,1,assessment,Surface warming,,
sustainability and nutrient efficiency of national dietary outcomes,GEO,Knowledge systems,Information on society and socio-economics,1,assessment,sustainability and nutrient efficiency of national dietary outcomes,Ecosystem services,Nature contribution
sustainability and/or environmental themes as one of the general goals of education,GEO,Knowledge systems,Specific information on human-nature relationship,1,assessment,sustainability and/or environmental themes as one of the general goals of education,,
sustainability dashboard,IPBES,Knowledge systems,Specific information on human-nature relationship,1,assessment,sustainability dashboard,Ecosystem services,Specific mention of sustainable use of species/ecosystems
sustainable development goals index,IPBES,Knowledge systems,Specific information on human-nature relationship,1,assessment,SDG Index; Sustainable Development Goals index,Ecosystem services,Specific mention of sustainable use of species/ecosystems
sustainable development index (sdi),IPBES,Knowledge systems,Specific information on human-nature relationship,1,assessment,Sustainable Development INDEX (SDI),Ecosystem services,Specific mention of sustainable use of species/ecosystems
sustainable economic welfare (isew),IPBES,Human assets,State of economy,1,assessment,Sustainable Economic Welfare (ISEW),Knowledge systems,Specific information on human-nature relationship
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",SDG;IPBES,Ecosystem services,Specific monetary valuation of nature contribution,2,both,"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries",Governance,Nature-based legislation
sustainable fishing practices,GEO,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,assessment,sustainable fishing practices,,
sustainable resource management,GEO,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,assessment,sustainable resource management,,
sustainable use of wild species,GBF,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,mea,Sustainable use of Wild Species,,
sustainable watershed and inland fisheries index,GBF,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,mea,Sustainable watershed and inland fisheries index,,
sustainable well-being index (swi),IPBES,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,assessment,sustainable well-being index (SWI),,
temperature,IPBES;IPCC,ecosystems,Abiotic conditions,2,assessment,Temperature; temperature,,
temporal species turnover,IPBES,biodiversity,Change in biodiversity,1,assessment,Temporal Species Turnover,,
terrestrial c sequestration,IPBES,Ecosystem services,Nature contribution,1,assessment,Terrestrial C sequestration; Terrestrial C sequestration (model ensemble),,
terrestrial net primary production,IPBES,Ecosystem services,Nature contribution,1,assessment,"Terrestrial NPP; Terrestrial Net Primary Production NPP; Terrestrial Net Primary Productivity, evapotranspiration; Terrestrial NPP (model ensemble); Terrestrial NPP (remote-sensing)",,
terrestrial permafrost temperature and active layer thickness,IPCC,ecosystems,Abiotic conditions,1,assessment,Terrestrial permafrost temperature and active layer thickness,ecosystems,State of ecosystems
terrestrial snow cover,IPCC,ecosystems,State of ecosystems,1,assessment,Terrestrial snow cover,,
terrestrial vegetation biomass,IPBES,biodiversity,State of biodiversity,1,assessment,Terrestrial vegetation biomass,,
the conservation status of species listed on the cites appendices has stabilized or improved,CITES,biodiversity,Change in biodiversity,1,mea,The conservation status of species listed on the CITES Appendices has stabilized or improved.,,
the number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF,Governance,Nature-based legislation,1,mea,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),ecosystems,Area conservation
themes in a text representing nature´s values,IPBES,Knowledge systems,Information on biodiversity,1,assessment,themes in a text representing nature´s values,,
thermokarst,IPCC,ecosystems,State of ecosystems,1,assessment,thermokarst,,
thermosteric sea level,IPCC,ecosystems,State of ecosystems,1,assessment,thermosteric sea level,,
threshold level methods,IPCC,ecosystems,Abiotic conditions,1,assessment,threshold level methods,,
threshold when flooding occurs about once every two weeks,IPCC,ecosystems,State of ecosystems,1,assessment,threshold when flooding occurs about once every two weeks,Direct drivers,Natural drivers
threshold when the local land elevation falls below the local mean higher high water (mhhw),IPCC,ecosystems,State of ecosystems,1,assessment,threshold when the local land elevation falls below the local mean higher high water (MHHW),,
thresholds related to antecedent extreme rainfall intensities,IPCC,ecosystems,Abiotic conditions,1,assessment,thresholds related to antecedent extreme rainfall intensities,,
thresholds related to antecedent wet periods,IPCC,ecosystems,Abiotic conditions,1,assessment,thresholds related to antecedent wet periods,,
tide gauge,IPCC,ecosystems,Abiotic conditions,1,assessment,Tide gauge; Tide gauges,,
timber production (m3),IPBES,Ecosystem services,Nature contribution,1,assessment,Timber production (m3),,
time needed to harvest resources,IPBES,Ecosystem services,Nature contribution,1,assessment,time needed to harvest resources,,
time series of normalized difference vegetation index (ndvi),IPCC,ecosystems,Change in ecosystems,1,assessment,Time series of Normalized Difference Vegetation INDEX (NDVI),,
toa energy budget,IPCC,Ecosystem services,Nature contribution,1,assessment,TOA energy budget,,
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF;SDG;UNCCD;IPBES,Governance,Nature-based funding,4,both,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies; Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies; Total amount of approved funding for developing countries and countries with economies in transition to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",,
total catch of cetaceans under international convention for the regulation of whaling,GBF,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,mea,Total catch of cetaceans under International Convention for the Regulation of Whaling,,
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),GBF,Ecosystem services,Nature contribution,1,mea,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),,
total dissolved solids (tds),IPBES,Direct drivers,Pollution,1,assessment,total dissolved solids (TDS),,
total gobal population living in water scarce areas,GEO,Human well-being,Healthy living conditions,1,assessment,total gobal population living in water scarce areas,,
"total government revenue as a proportion of gross domestic product, by source",SDG;IPBES,Human assets,State of economy,2,both,"Total government revenue as a proportion of GDP, by source",,
total greenhouse gas emissions per year,SDG;IPBES,Direct drivers,Climate change,2,both,Total greenhouse gas emissions per year; Total GHG emissions,,
total hectares of ramsar sites that have been designated,RAMSAR,ecosystems,Area conservation,1,mea,Total hectares of Ramsar sites that have been designated. (Data source: Ramsar Sites database).,,
total imports,IPBES,Human assets,State of economy,1,assessment,Total imports,,
total investments into capacity-building efforts,CITES,Governance,National/international cooperation,1,mea,Total investments into capacity-building efforts.,Governance,Nature-based funding
total land footprint,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Total land footprint,,
total net official development assistance to medical research and basic health sectors,SDG,Knowledge systems,Information on society and socio-economics,1,mea,Total net official development assistance to medical research and basic health sectors,Human assets,Coverage of basic needs
total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF,Knowledge systems,Information on society and socio-economics,1,mea,Total number of internationally recognized certificates published in the ABS Clearing-House; Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,,
total number of introduced alien species,IPBES,Direct drivers,Invasive alien species,1,assessment,Total number of introduced alien species,,
"total number of permits, or their equivalent, granted for access to genetic resources",GBF,Governance,Nature-based legislation,1,mea,"Total number of permits, or their equivalent, granted for access to genetic resources",biodiversity,Genetic resources
total number of transboundary ramsar sites,RAMSAR,ecosystems,Area conservation,1,mea,Total number of transboundary Ramsar Sites. (Data source: Ramsar Sites Database).,Governance,National/international cooperation
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,GBF,Knowledge systems,Information on biodiversity,1,mea,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,biodiversity,Genetic resources
total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,SDG;IPBES,Human assets,State of economy,2,both,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,Governance,Legislation/governance
total official flows (official development assistance plus other official flows) to the agriculture sector,SDG;IPBES,Human assets,State of economy,2,both,Total official flows (official development assistance plus other official flows) to the agriculture sector,,Information on society and socio-economics
total official international support (official development assistance plus other official flows) to infrastructure,SDG;IPBES,Human assets,Infrastructure (build-up area),2,both,Total official international support (official development assistance plus other official flows) to infrastructure,,Information on society and socio-economics
"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",SDG;IPBES,Human assets,State of economy,2,both,"Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",,Information on society and socio-economics
total population,IPBES,Knowledge systems,Information on society and socio-economics,1,assessment,total population,,
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",SDG;IPBES,Governance,National/international cooperation,2,both,"Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",,
total richness of endemic species,IPBES,biodiversity,State of biodiversity,1,assessment,Total richness of endemic species,,
total soil moisture,IPCC,ecosystems,Abiotic conditions,1,assessment,total soil moisture,,
total value of inward and outward illicit financial flows (in current united states dollars),SDG,Human assets,State of economy,1,mea,Total value of inward and outward illicit financial flows (in current United States dollars),Governance,Broken governance
total wood removals,IPBES,Ecosystem services,Nature contribution,1,assessment,Total wood removals,,
totem or culturally important species,IPBES,Knowledge systems,ILK,1,assessment,totem or culturally important species,,
tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,SDG;IPBES,Human assets,State of economy,2,both,Tourism direct GDP as a proportion of total GDP and in growth rate,,
toxocological potential of nanoparticals,GEO,Direct drivers,Pollution,1,assessment,toxocological potential of nanoparticals,,
trade in wild animals,IPBES,Ecosystem services,Nature contribution,1,assessment,trade in wild animals,,
trade in wild mammals,IPBES,Ecosystem services,Nature contribution,1,assessment,trade in wild mammals,,
transfer of water to the atmosphere,IPBES,Ecosystem services,Nature contribution,1,assessment,transfer of water to the atmosphere,,
transient climate response tcr,IPCC,ecosystems,Abiotic conditions,1,assessment,transient climate response TCR,,
tree biomass,IPBES,biodiversity,State of biodiversity,1,assessment,tree biomass,,
tree cover,IPBES,biodiversity,State of biodiversity,1,assessment,area of tree cover; Tree cover; Area of tree cover loss; Area of tree cover loss (ha); Area of tree cover loss (ha)†,,
tree cover loss,GBF,biodiversity,Change in biodiversity,1,mea,"Tree cover loss
",,
tree rings,IPCC,biodiversity,State of biodiversity,1,assessment,Tree rings; Tree ring reconstructions,,
trend in carbon intensity,IPBES,Direct drivers,Pollution,1,assessment,Trend in Carbon Intensity,,
trends in abundance and distribution of selected species,UNCCD,biodiversity,Change in biodiversity,1,mea,Trends in abundance and distribution of selected species,,
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF,biodiversity,State of biodiversity,1,mea,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",Direct drivers,Invasive alien species
trends in access to safe drinking water in affected areas,UNCCD,Human well-being,Healthy living conditions,1,mea,Trends in access to safe drinking water in affected areas,Human assets,Coverage of basic needs
trends in adoption of multinational agreements to reduce invasive alien species threats,IPBES,Direct drivers,Invasive alien species,1,assessment,Trends in adoption of multinational agreements to reduce invasive alien species threats,Governance,Nature-based legislation
trends in attention to migratory species in national biodiversity strategies and action plans,CMS,Governance,Nature-based legislation,1,mea,Trends in attention to migratory species in National Biodiversity Strategies and Action Plans,,
trends in awareness and attitudes to migratory species,CMS,Knowledge systems,Information on biodiversity,1,mea,Trends in awareness and attitudes to migratory species,biodiversity,State of biodiversity
trends in carbon stocks above and below ground,UNCCD,ecosystems,State of ecosystems (integrity),1,mea,Trends in carbon stocks above and below ground,Direct drivers,Climate change
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",CMS,biodiversity,Change in biodiversity,1,mea,"Trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",Knowledge systems,Information on biodiversity
trends in delivery of ecosystem services directly dependent on migratory species,CMS,ecosystems,Change in ecosystems,1,mea,Trends in delivery of ecosystem services directly dependent on migratory species,Governance,Nature-based legislation
trends in distribution of migratory species,CMS,biodiversity,Change in biodiversity,1,mea,Trends in distribution of migratory species,Knowledge systems,Information on biodiversity
trends in domestic public resources,UNCCD,Human assets,State of economy,1,mea,Trends in domestic public resources,,
trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF,biodiversity,Species conservation,1,mea,Trends in effective and sustainable management of human-wildlife conflict and coexistence,Governance,Nature-based legislation
trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species,IPBES,Direct drivers,Invasive alien species,1,assessment,trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species; Trends in establishments and national adoption of international agreements relevant to the prevention and control of invasive alien species,Governance,Nature-based legislation
trends in extinction risk of birds impacted by invasive species,IPBES,Direct drivers,Invasive alien species,1,assessment,Trends in extinction risk of birds impacted by invasive species,biodiversity,Change in biodiversity
trends in fisheries certified by the msc,IPBES,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,assessment,Trends in fisheries certified by the MSC,,
trends in forest extent,IPBES,ecosystems,Change in ecosystems,1,assessment,Trends in forest extent (tree cover),,
trends in integration of migratory species concerns in national biodiversity strategies and action plans,CMS,biodiversity,Change in biodiversity,1,mea,Trends in integration of migratory species concerns in National Biodiversity Strategies and Action Plans,Governance,Nature-based legislation
trends in integration of migratory species values in national and sectoral policies,CMS,Governance,Nature-based legislation,1,mea,Trends in integration of migratory species values in national and sectoral policies,Knowledge systems,Information on biodiversity
