Indicators harmonized,Sources,Elements,Subelements,Frequency of use,MEA/assess,Indicators original name,Elements_2,Subelements_2
atmospheric evaporative demand (aed),IPCC,ecosystems,Abiotic conditions,1,assessment,atmospheric evaporative demand (AED),,
atmospheric internal variability,IPCC,ecosystems,Abiotic conditions,1,assessment,atmospheric internal variability,,
atmospheric inversions,IPCC,ecosystems,Abiotic conditions,1,assessment,Atmospheric inversions,,
average conservation status,IPBES,biodiversity,Species conservation,1,assessment,average conservation status,,
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SDG;IPBES,Human assets,Income,2,both,"Average hourly earnings of employees, by sex, age, occupation and persons with disabilities",,
"average income of small-scale food producers, by sex and indigenous status",GBF;SDG;IPBES,Human assets,Income,3,both,"Average income of small-scale food producers, by sex and indigenous status",,
average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG;IPBES,ecosystems,State of ecosystems (marine),2,both,Average marine acidity (pH) measured at agreed suite of representative sampling stations,Direct drivers,Climate change
average number of years of schooling,IPBES,Human assets,Coverage of basic needs,1,assessment,average number of years of schooling,,
average share of the built-up area of cities that is green/blue space for public use for all,GBF,Human well-being,Healthy living conditions,1,mea,Average share of the built-up area of cities that is green/blue space for public use for all,,
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",SDG,Human assets,Infrastructure (build-up area),1,mea,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",,
avoided costs from air pollution,IPBES,Governance,Legislation/governance,1,assessment,Avoided costs from air pollution,Direct drivers,Pollution
avoided morbidity and premature mortality from air pollution,IPBES,Human well-being,Healthy living conditions,1,assessment,Avoided morbidity and premature mortality from air pollution,Direct drivers,Pollution
avoided water treatment costs,IPBES,Human assets,Coverage of basic needs,1,assessment,Avoided water treatment costs,,
bare area,IPBES,ecosystems,State of ecosystems,1,assessment,Bare area,,
beach erosion volume due to the 100-year recurrence storm wave height,IPCC,ecosystems,Abiotic conditions,1,assessment,beach erosion volume due to the 100-year recurrence storm wave height,ecosystems,Change in ecosystems
beach litter,GEO,Direct drivers,Pollution,1,assessment,beach litter,,
bedrock topography,IPCC,ecosystems,Abiotic conditions,1,assessment,Bedrock topography,,
beef consumption,GEO,Human well-being,Healthy living conditions,1,assessment,beef consumption,,
behavior of animals with importance as food,IPBES,Knowledge systems,ILK,1,assessment,behavior of animals with importance as food,Ecosystem services,Nature contribution
benefits derived from healthy ecosystems and costs caused by its depletion,IPBES,Ecosystem services,Nature contribution,1,assessment,benefits derived from healthy ecosystems and costs caused by its depletion,,
benefits from the sustainable use of wild species,GBF,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,mea,Benefits from the sustainable use of wild species,,
benthich isotopes,IPCC,ecosystems,Abiotic conditions,1,assessment,benthich isotopes,,
better life index,IPBES,Human well-being,Healthy living conditions,1,assessment,Better life index,Human well-being,Wellness
biocapacity,GEO,Ecosystem services,Nature contribution,1,assessment,Biocapacity,,
biochemical oxygen demand (bod),IPBES,Ecosystem services,Nature contribution,1,assessment,biochemical oxygen demand (BOD),,
bioclimatic ecosystem resilience index (beri),GBF,ecosystems,State of ecosystems (integrity),1,mea,Bioclimatic Ecosystem Resilience Index (BERI),,
biodiversity barometer (percentage of respondents giving correct definition of biodiversity),IPBES,Knowledge systems,Specific information on human-nature relationship,1,assessment,Biodiversity Barometer (% of respondents giving correct definition of biodiversity),,
biodiversity barometer (percentage of respondents that have heard of biodiversity),IPBES,Knowledge systems,Specific information on human-nature relationship,1,assessment,Biodiversity Barometer (% of respondents that have heard of biodiversity),,
biodiversity habitat index,GBF;IPBES,biodiversity,State of biodiversity,2,both,Biodiversity Habitat Index; BHI (overall habitat integrity); Biodiversity habitat index; BHI (overall habitat integrity) - Hotspots,,
biodiversity habitat index (species persisting),IPBES,ecosystems,State of ecosystems,1,assessment,Biodiversity Habitat Index (species persisting),,
"biodiversity habitat index (species persisting, hotspots)",IPBES,ecosystems,State of ecosystems,1,assessment,BHI (species persisting) - Hotspots,,
biodiversity in poverty reduction strategies,IPBES,Governance,Nature-based legislation,1,assessment,biodiversity in poverty reduction strategies,,
biodiversity intactness index,GBF;IPBES;GEO,biodiversity,State of biodiversity,3,both,"Biodiversity Intactness Index 
; Biodiversity Intactness Index; Biodiversity Intactness index; Biodiversity Intactness INDEX; Biodiversity intactness index; Biodiversity Intactness Index (overall)",,
biodiversity intactness index (hotspots),IPBES,biodiversity,State of biodiversity,1,assessment,Biodiversity Intactness Index (Hotspots),,
biodiversity intactness index (indigenous lands),IPBES,biodiversity,State of biodiversity,1,assessment,Biodiversity Intactness Index (Indigenous Lands),,
biodiversity intactness index (tropical forest),IPBES,biodiversity,State of biodiversity,1,assessment,Tropical forest BII (overall),,
"biodiversity intactness index (tropical forest, hotspots)",IPBES,biodiversity,State of biodiversity,1,assessment,Tropical forest BII (hotspots),,
"biodiversity intactness index (tropical forest, indigenous lands)",IPBES,biodiversity,State of biodiversity,1,assessment,Tropical forest BII (Indigenous Lands),,
biofuel production,GBF;GEO,Ecosystem services,Nature contribution,2,both,Biofuel production; biofuel production,,
biological pump efficiency,IPBES,Ecosystem services,Specific monetary valuation of nature contribution,1,assessment,Biological pump efficiency,,
biomass abundance,IPBES,ecosystems,State of ecosystems,1,assessment,Biomass abundance,,
biomass of prey fish,IPBES,biodiversity,State of biodiversity,1,assessment,Biomass of prey fish,,
biomass of selected natural ecosystems,GBF,ecosystems,State of ecosystems,1,mea,"Biomass of selected natural ecosystems 
",,
biomass turnover rate,IPBES,biodiversity,Change in biodiversity,1,assessment,Biomass turnover rate,,
biophysical inventories of biodiversity and ecosystem services,IPBES,Ecosystem services,Nature contribution,1,assessment,biophysical inventories of biodiversity and ecosystem services,,
biotic productivity,IPBES,Ecosystem services,Nature contribution,1,assessment,biotic productivity,,
biotime species richness indicator,IPBES,biodiversity,State of biodiversity,1,assessment,BioTime Species richness indicator,,
biotime-local species richness,IPBES,biodiversity,State of biodiversity,1,assessment,BioTime-Local Species Richness,,
bird species per grid cell,IPBES,biodiversity,State of biodiversity,1,assessment,Bird species per grid cell; Bird species per grid cell (cSAR),,
blocking index,IPCC,ecosystems,Abiotic conditions,1,assessment,Blocking Index,,
blood pressure,GEO,Human well-being,Healthy living conditions,1,assessment,blood pressure,,
blue water sustainability index,IPBES,ecosystems,Area conservation,1,assessment,blue water sustainability INDEX,Knowledge systems,Specific information on human-nature relationship
body condition,IPBES,Knowledge systems,ILK,1,assessment,body condition; Body condition,biodiversity,State of biodiversity
body fat,IPBES,biodiversity,State of biodiversity,1,assessment,Body fat,,
body mass index,GEO,biodiversity,State of biodiversity,1,assessment,Body mass index,,
boron-isotope,IPCC,ecosystems,Abiotic conditions,1,assessment,Boron-Isotope,,
buffer zones to protect catchment areas,GEO,ecosystems,Area conservation,1,assessment,buffer zones to protect catchment areas,,
build up area,GEO,Human assets,Infrastructure (build-up area),1,assessment,build up area; build up area per capita,,
business operations,GEO,Governance,Legislation/governance,1,assessment,business operations,,
by catch of vulnerable and non-target species,GBF,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,mea,By catch of vulnerable and non-target species,,
c pool,IPBES,Ecosystem services,Nature contribution,1,assessment,C pool,,
c-haines index,IPCC,ecosystems,Abiotic conditions,1,assessment,C-Haines Index,,
caloric intake,IPBES,Human well-being,Healthy living conditions,1,assessment,caloric intake; calorie intake,,
carbon sequestration,IPBES,Ecosystem services,Nature contribution,1,assessment,net carbon sequestration,,
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF,Direct drivers,Climate change,1,mea,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover",,
carbon uptake by land and ocean,IPCC,Ecosystem services,Nature contribution,1,assessment,carbon uptake by land and ocean,ecosystems,State of ecosystems
catch per unit effort,IPBES,Knowledge systems,ILK,1,assessment,catch per unit effort; catch-per-unit effort,Ecosystem services,Nature contribution
certified forest area,IPBES,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,assessment,Certified Forest Area,,
change in # days hi>41°c,IPCC,ecosystems,Abiotic conditions,1,assessment,Change in # days HI>41°C,ecosystems,Change in ecosystems
change in # days tx>35°c,IPCC,ecosystems,Abiotic conditions,1,assessment,Change in # days Tx>35°C,ecosystems,Change in ecosystems
change in # droughts,IPCC,ecosystems,Abiotic conditions,1,assessment,Change in # droughts,ecosystems,Change in ecosystems
change in # soil moisture,IPCC,ecosystems,Abiotic conditions,1,assessment,Change in # soil moisture,ecosystems,Change in ecosystems
change in extreme total water level,IPCC,ecosystems,Abiotic conditions,1,assessment,change in extreme total water level,ecosystems,Change in ecosystems
change in mean wind,IPCC,ecosystems,Abiotic conditions,1,assessment,change in mean wind,ecosystems,Change in ecosystems
change in the extent of inland water ecosystems over time,GBF,ecosystems,State of ecosystems,1,mea,Change in the extent of inland water ecosystems over time,,Change in ecosystems
change in the extent of water-related ecosystems over time,GBF;SDG;IPBES,ecosystems,State of ecosystems,3,both,Change in the extent of water-related ecosystems over time,,Change in ecosystems
change in the quality of coastal water ecosystems over time,GBF,ecosystems,State of ecosystems (freshwater/coastal),1,mea,Change in the quality of coastal water ecosystems over time,,Change in ecosystems
change in the quality of inland water ecosystems over time,GBF,ecosystems,State of ecosystems,1,mea,Change in the quality of inland water ecosystems over time,,Change in ecosystems
change in water-use efficiency over time,GBF;SDG;IPBES,Human assets,Infrastructure (build-up area),3,both,Change in water-use efficiency over time,,
changes in crop phenology,IPBES,Knowledge systems,ILK,1,assessment,changes in crop phenology,Ecosystem services,Nature contribution
changes in evapotranspiration demand,IPCC,ecosystems,Abiotic conditions,1,assessment,Changes in evapotranspiration demand,ecosystems,Change in ecosystems
changes in groundwater,IPCC,ecosystems,Abiotic conditions,1,assessment,Changes in groundwater,ecosystems,Change in ecosystems
changes in land versus sea surface temperature,IPCC,ecosystems,Abiotic conditions,1,assessment,changes in land versus sea surface temperature,,
changes in low flows,IPCC,ecosystems,Abiotic conditions,1,assessment,changes in low flows,,
changes in mean precipitation,IPCC,ecosystems,Abiotic conditions,1,assessment,changes in mean precipitation,,
changes in mean streamflow,IPCC,ecosystems,Abiotic conditions,1,assessment,changes in mean streamflow,,
changes in observed cloud cover,IPCC,ecosystems,Abiotic conditions,1,assessment,Changes in observed cloud cover,,
changes in phytoplankton phenology,IPCC,biodiversity,Change in biodiversity,1,assessment,Changes in phytoplankton phenology,,
changes in plankton biomass and abundance,GBF,biodiversity,Change in biodiversity,1,mea,Changes in plankton biomass and abundance,,
changes in precipitation,IPCC,ecosystems,Abiotic conditions,1,assessment,changes in precipitation,ecosystems,Change in ecosystems
changes in precipitation frequency and intensity,IPCC,ecosystems,Abiotic conditions,1,assessment,changes in precipitation frequency and intensity,Direct drivers,Climate change
changes in soil moisture,IPCC,ecosystems,Abiotic conditions,1,assessment,Changes in soil moisture,ecosystems,Change in ecosystems
changes in surface water,IPCC,ecosystems,Abiotic conditions,1,assessment,Changes in surface water,ecosystems,Change in ecosystems
"changes in terrestrial, marine and freshwater vertebrate populations",GEO,biodiversity,Change in biodiversity,1,assessment,"changes in terrestrial, marine and freshwater vertebrate populations",,
"changes in the number of warm nights, warm days, cold nights, and cold days",IPCC,ecosystems,Abiotic conditions,1,assessment,"Changes in the number of warm nights, warm days, cold nights, and cold days",,
changing range of wild species,IPBES,biodiversity,Change in biodiversity,1,assessment,changing range of wild species,,
changing status of evolutionary distinct and globally endangered species (edge index),GBF,biodiversity,State of biodiversity,1,mea,Changing status of evolutionary distinct and globally endangered species (EDGE Index),,Change in biodiversity
chemical contaminants,GEO,Direct drivers,Pollution,1,assessment,chemical contaminants,,
child mortality,IPBES;GEO,Human well-being,Healthy living conditions,2,assessment,Child mortality; child mortality,,
child mortality rate,IPBES,Human well-being,Healthy living conditions,1,assessment,Child mortality rate,Human assets,Information on society and socio-economics
childhood undernutrition,GEO,Human well-being,Healthy living conditions,1,assessment,childhood undernutrition,,
circulation,IPCC,ecosystems,Abiotic conditions,1,assessment,Circulation,,
circulation index,IPCC,ecosystems,Abiotic conditions,1,assessment,Circulation Index,,
cites parties that have implemented relevant resolutions and decisions,IPBES,Governance,Nature-based legislation,1,assessment,CITES parties that have implemented relevant resolutions and decisions,,
city biodiversity index,IPBES;GEO,biodiversity,State of biodiversity,2,assessment,City Biodiversity INDEX; City Biodiversity Index,,
climate related loss events,GEO,ecosystems,Abiotic conditions,1,assessment,climate related loss events,,
climate risk index,IPBES,Direct drivers,Natural drivers,1,assessment,climate risk index,,
climate velocity,IPCC,ecosystems,Abiotic conditions,1,assessment,Climate velocity,,
climatic impact index,GBF;IPBES,Direct drivers,Climate change,2,both,Climatic impact index; Climatic Impact INDEX,,
climatic impact index for birds,IPBES,Direct drivers,Climate change,1,assessment,Climatic Impact Index for Birds; Climatic Impact Index for birds,biodiversity,Change in biodiversity
climatic impact-driver (cid) duration,IPCC,ecosystems,Abiotic conditions,1,assessment,climatic impact-driver (cid) duration,,
climatic impact-driver (cid) frequency,IPCC,ecosystems,Abiotic conditions,1,assessment,climatic impact-driver (cid) frequency,,
climatic impact-driver (cid) magnitude,IPCC,ecosystems,Abiotic conditions,1,assessment,climatic impact-driver (cid) magnitude,,
