indicator_harmonized,indic_ids,source,Categories,Categories_2,Subcategories,Subcategories_2,policy,mea,assess
"proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",SDG_G5.6.1_76,SDG,Human well-being,Governance,Equity,Broken governance,1,TRUE,FALSE
proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,SDG_G5.3.1_71,SDG,Human well-being,Governance,Equity,Broken governance,1,TRUE,FALSE
"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",SDG_G5.2.1_69;SDG_G5.2.2_70,SDG,Human well-being,Governance,Equity,Broken governance,1,TRUE,FALSE
proportion of women in managerial positions,SDG_G5.5.2_75,SDG,Knowledge systems,Governance,Information on society and socio-economics,Broken governance,1,TRUE,FALSE
proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,SDG_G3.7.1_42,SDG,Human assets,Governance,Coverage of basic needs,Broken governance,1,TRUE,FALSE
proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,SDG_G16.2.3_218,SDG,Knowledge systems,Governance,Information on society and socio-economics,Broken governance,1,TRUE,FALSE
"proportion of youth (aged 15-24 years) not in education, employment or training",SDG_G8.6.1_107;IPBES_SUA_sup_8.6.1_51,SDG,Human assets,NA,Coverage of basic needs,NA,1,TRUE,FALSE
"proportion of youth (aged 15-24 years) not in education, employment or training",SDG_G8.6.1_107;IPBES_SUA_sup_8.6.1_51,IPBES,Human assets,NA,Coverage of basic needs,NA,1,FALSE,TRUE
"proportion of youth and adults with information and communications technology (ict) skills, by type of skill",SDG_G4.4.1_61,SDG,Knowledge systems,Human assets,Information on society and socio-economics,Coverage of basic needs,1,TRUE,FALSE
"proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",SDG_G16.7.1_228,SDG,Human well-being,NA,Equity,NA,1,TRUE,FALSE
prospective inclusion of other native taxa and threatened habitats,IPBES_IAS_6_21_146_60,IPBES,Knowledge systems,NA,Information on biodiversity,NA,0,FALSE,TRUE
protected area and oecm management effectiveness (mepca) indicator,GBF_T3_CY_135,GBF,ecosystems,Governance,Area conservation,Nature-based legislation,1,TRUE,FALSE
protected area connectedness (parc-connectedness) index,GBF_GA_C_6;GBF_T3_C_20;IPBES_GA_1_52_19_27,GBF,ecosystems,NA,State of ecosystems (configuration),NA,1,TRUE,FALSE
protected area connectedness (parc-connectedness) index,GBF_GA_C_6;GBF_T3_C_20;IPBES_GA_1_52_19_27,IPBES,ecosystems,NA,State of ecosystems (configuration),NA,1,FALSE,TRUE
protected area coverage,IPBES_GA_1_52_19_28,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
"protected area coverage of bird, mammal and amphibian distributions",IPBES_GA3_sup_46,IPBES,ecosystems,biodiversity,Area conservation,State of biodiversity,0,FALSE,TRUE
protected area coverage of important sites for mountain biodiversity,SDG_G15.4.1_198;IPBES_SUA_sup_15.4.1_125,SDG,ecosystems,biodiversity,Area conservation,State of biodiversity,1,TRUE,FALSE
protected area coverage of important sites for mountain biodiversity,SDG_G15.4.1_198;IPBES_SUA_sup_15.4.1_125,IPBES,ecosystems,biodiversity,Area conservation,State of biodiversity,1,FALSE,TRUE
protected area coverage of important sites for terrestrial and freshwater biodiversity,SDG_G15.1.2_195;IPBES_SUA_sup_15.1.2_122,SDG,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
protected area coverage of important sites for terrestrial and freshwater biodiversity,SDG_G15.1.2_195;IPBES_SUA_sup_15.1.2_122,IPBES,ecosystems,NA,Area conservation,NA,1,FALSE,TRUE
protected area coverage of key biodiversity areas,GBF_T3_C_17;IPBES_GA_1_52_19_10;IPBES_GA_3_55_389_466;IPBES_GA_3_72_395_476;IPBES_GA3_sup_43,GBF,ecosystems,biodiversity,Area conservation,State of biodiversity,1,TRUE,FALSE
protected area coverage of key biodiversity areas,GBF_T3_C_17;IPBES_GA_1_52_19_10;IPBES_GA_3_55_389_466;IPBES_GA_3_72_395_476;IPBES_GA3_sup_43,IPBES,ecosystems,biodiversity,Area conservation,State of biodiversity,1,FALSE,TRUE
protected area coverage of marine and coastal areas,SDG_G14.5.1_188;IPBES_GA_3_72_395_471;IPBES_GA3_sup_41;IPBES_SUA_sup_14.5.1_115,SDG,ecosystems,ecosystems,Area conservation,State of ecosystems (marine),1,TRUE,FALSE
protected area coverage of marine and coastal areas,SDG_G14.5.1_188;IPBES_GA_3_72_395_471;IPBES_GA3_sup_41;IPBES_SUA_sup_14.5.1_115,IPBES,ecosystems,ecosystems,Area conservation,State of ecosystems (marine),1,FALSE,TRUE
"protected area coverage of terrestrial, marine and freshwater ecoregions",IPBES_GA_1_52_19_66,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
"protected area downgrading, downsizing and degazettement (pd)",GBF_T3_CY_131,GBF,ecosystems,NA,Change in ecosystems,NA,1,TRUE,FALSE
protected area isolation index (pai),GBF_T3_CY_136,GBF,ecosystems,NA,State of ecosystems (coverage),NA,1,TRUE,FALSE
protected area management effectiveness (pame),GBF_T3_C_18;IPBES_GA_1_52_19_26,GBF,ecosystems,Governance,Area conservation,Nature-based legislation,1,TRUE,FALSE
protected area management effectiveness (pame),GBF_T3_C_18;IPBES_GA_1_52_19_26,IPBES,ecosystems,Governance,Area conservation,Nature-based legislation,1,FALSE,TRUE
protected area representativeness index,IPBES_GA_1_52_19_67,IPBES,ecosystems,Governance,Area conservation,Nature-based legislation,0,FALSE,TRUE
protected areas network metric (pronet),GBF_T3_CY_137,GBF,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
protected connected (protconn) index,GBF_GA_C_5;GBF_T3_C_19,GBF,ecosystems,ecosystems,Area conservation,State of ecosystems (configuration),1,TRUE,FALSE
protection of key biodiversity areas,IPBES_GA_2_24_29_98,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
protein intake per country per person,IPBES_GA2.1_sup_17,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
"provision of safe, reliable drinking water",GEO_9_18_80_98,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
proximity of people and nature,IPBES_GA_2.3_42_143_339,IPBES,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
quality and abundance of food and medicine species,IPBES_SUA_2_95_77_17;IPBES_SUA_2_96_79_30,IPBES,Knowledge systems,biodiversity,ILK,State of biodiversity,0,FALSE,TRUE
quality of governance index,IPBES_SUA_4_61_118_48,IPBES,Governance,NA,Legislation/governance,NA,0,FALSE,TRUE
quantity of land area known to have (in)sufficient infrastructure against flooding,GEO_17_8_200_161,GEO,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
radiative forcing,IPCC_7_91_360_227,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
radio occultation,IPCC_2_42_69_82,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
rainfall,IPCC_8_42_382_239,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
rainfall variability,IPCC_8_77_414_250,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
ramsar management effectiveness tracking tool (r-mett),GBF_T3_CY_140,GBF,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
ramsar sites,IPBES_GA_1_52_19_71;IPBES_GA2.1_sup_59,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
range contractions,IPBES_GA_2.3_75_161_361,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
range-size rarity,IPBES_GA_2.2_21_61_147,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
rate of invasive alien species establishment,GBF_T6_H_22;GBF_T4_CY_153;IPBES_IAS_6_119_173_79,GBF,Direct drivers,NA,Invasive alien species,NA,1,TRUE,FALSE
rate of invasive alien species establishment,GBF_T6_H_22;GBF_T4_CY_153;IPBES_IAS_6_119_173_79,IPBES,Direct drivers,NA,Invasive alien species,NA,1,FALSE,TRUE
rate of invasive alien species spread,GBF_T6_C_34,GBF,Direct drivers,NA,Invasive alien species,NA,1,TRUE,FALSE
rate of invasive species impact and rate of impact,GBF_T6_C_33,GBF,Direct drivers,NA,Invasive alien species,NA,1,TRUE,FALSE
rate of land use change,IPBES_GA_2.3_39_137_273,IPBES,Direct drivers,ecosystems,Land conversion,Change in ecosystems,0,FALSE,TRUE
rate of rslr (relative sea level rise),IPCC_12_20_605_366,IPCC,ecosystems,ecosystems,Abiotic conditions,State of ecosystems,0,FALSE,TRUE
rate of species accumulation,IPBES_IAS_2_15_20_15,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
rate of use of pesticides,IPBES_VA_3_26_59_45,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
rate of wood removal,IPBES_VA_3_26_59_46,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
ratio of land consumption rate to population growth rate,SDG_G11.3.1_145;GEO_15_17_161_136;GEO_15_20_171_144;IPBES_SUA_sup_11.3.1_79,SDG,Ecosystem services,Human assets,Nature contribution,Coverage of basic needs,1,TRUE,FALSE
ratio of land consumption rate to population growth rate,SDG_G11.3.1_145;GEO_15_17_161_136;GEO_15_20_171_144;IPBES_SUA_sup_11.3.1_79,IPBES,Ecosystem services,Human assets,Nature contribution,Coverage of basic needs,1,FALSE,TRUE
ratio of land consumption rate to population growth rate,SDG_G11.3.1_145;GEO_15_17_161_136;GEO_15_20_171_144;IPBES_SUA_sup_11.3.1_79,GEO,Ecosystem services,Human assets,Nature contribution,Coverage of basic needs,1,FALSE,TRUE
ratio of land consumption rate to urban population growth rate at comparable scale,GEO_15_21_173_147,GEO,Direct drivers,NA,Land conversion,NA,0,FALSE,TRUE
recognition and value of forest-management knowledge and skills of local people,IPBES_SUA_2_92_69_13,IPBES,Knowledge systems,NA,ILK,NA,0,FALSE,TRUE
recommended intake values for the food groups,GEO_17_12_206_181,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
recreation and cultural ecosystem services provided,GBF_T12_C_54,GBF,Human well-being,NA,Recreation,NA,1,TRUE,FALSE
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,SDG_G10.7.1_136,SDG,Human assets,NA,State of economy,Income,1,TRUE,FALSE
recycling rate,GBF_T16_CY_217,GBF,Knowledge systems,NA,Specific information on human-nature relationship,NA,1,TRUE,FALSE
red list index,GBF_GA_H_3;GBF_T4_H_19;GBF_T2_CY_127;SDG_G15.5.1_201;IPBES_GA_1_52_19_30;IPBES_GA_2.2_37_70_195;IPBES_GA_2.2_51_92_224;IPBES_GA_2.2_70_120_240;IPBES_GA_4_30_175_362;IPBES_GA_3_40_368_445;IPBES_GA_3_45_374_449;IPBES_GA_3_150_436_500;IPBES_SUA_1_1_1_1;IPBES_SUA_1_22_10_6;IPBES_SUA_4_70_126_55;IPBES_SUA_4_71_127_57;IPBES_IAS_2_48_40_17;IPBES_IAS_4_22_102_34;IPBES_IAS_5_52_127_38;GEO_6_15_50_71;GEO_6_16_54_74;IPBES_GA2.2_sup_59;IPBES_GA3_sup_50;IPBES_SUA_sup_15.5.1_127,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
red list index,GBF_GA_H_3;GBF_T4_H_19;GBF_T2_CY_127;SDG_G15.5.1_201;IPBES_GA_1_52_19_30;IPBES_GA_2.2_37_70_195;IPBES_GA_2.2_51_92_224;IPBES_GA_2.2_70_120_240;IPBES_GA_4_30_175_362;IPBES_GA_3_40_368_445;IPBES_GA_3_45_374_449;IPBES_GA_3_150_436_500;IPBES_SUA_1_1_1_1;IPBES_SUA_1_22_10_6;IPBES_SUA_4_70_126_55;IPBES_SUA_4_71_127_57;IPBES_IAS_2_48_40_17;IPBES_IAS_4_22_102_34;IPBES_IAS_5_52_127_38;GEO_6_15_50_71;GEO_6_16_54_74;IPBES_GA2.2_sup_59;IPBES_GA3_sup_50;IPBES_SUA_sup_15.5.1_127,SDG,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
red list index,GBF_GA_H_3;GBF_T4_H_19;GBF_T2_CY_127;SDG_G15.5.1_201;IPBES_GA_1_52_19_30;IPBES_GA_2.2_37_70_195;IPBES_GA_2.2_51_92_224;IPBES_GA_2.2_70_120_240;IPBES_GA_4_30_175_362;IPBES_GA_3_40_368_445;IPBES_GA_3_45_374_449;IPBES_GA_3_150_436_500;IPBES_SUA_1_1_1_1;IPBES_SUA_1_22_10_6;IPBES_SUA_4_70_126_55;IPBES_SUA_4_71_127_57;IPBES_IAS_2_48_40_17;IPBES_IAS_4_22_102_34;IPBES_IAS_5_52_127_38;GEO_6_15_50_71;GEO_6_16_54_74;IPBES_GA2.2_sup_59;IPBES_GA3_sup_50;IPBES_SUA_sup_15.5.1_127,IPBES,biodiversity,NA,State of biodiversity,NA,1,FALSE,TRUE
red list index,GBF_GA_H_3;GBF_T4_H_19;GBF_T2_CY_127;SDG_G15.5.1_201;IPBES_GA_1_52_19_30;IPBES_GA_2.2_37_70_195;IPBES_GA_2.2_51_92_224;IPBES_GA_2.2_70_120_240;IPBES_GA_4_30_175_362;IPBES_GA_3_40_368_445;IPBES_GA_3_45_374_449;IPBES_GA_3_150_436_500;IPBES_SUA_1_1_1_1;IPBES_SUA_1_22_10_6;IPBES_SUA_4_70_126_55;IPBES_SUA_4_71_127_57;IPBES_IAS_2_48_40_17;IPBES_IAS_4_22_102_34;IPBES_IAS_5_52_127_38;GEO_6_15_50_71;GEO_6_16_54_74;IPBES_GA2.2_sup_59;IPBES_GA3_sup_50;IPBES_SUA_sup_15.5.1_127,GEO,biodiversity,NA,State of biodiversity,NA,1,FALSE,TRUE
red list index (birds and mammals),IPBES_GA_3_51_382_461,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
red list index (for utilized species),GBF_GB_C_10;GBF_T5_C_30;GBF_T9_C_45;IPBES_GA_2.2_51_92_227;IPBES_GA_3_15_329_416;GEO_13_18_136_119;IPBES_GA2.2_sup_63;IPBES_GA3_sup_11;IPBES_GA3_sup_56,GBF,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,TRUE,FALSE
red list index (for utilized species),GBF_GB_C_10;GBF_T5_C_30;GBF_T9_C_45;IPBES_GA_2.2_51_92_227;IPBES_GA_3_15_329_416;GEO_13_18_136_119;IPBES_GA2.2_sup_63;IPBES_GA3_sup_11;IPBES_GA3_sup_56,IPBES,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,FALSE,TRUE
red list index (for utilized species),GBF_GB_C_10;GBF_T5_C_30;GBF_T9_C_45;IPBES_GA_2.2_51_92_227;IPBES_GA_3_15_329_416;GEO_13_18_136_119;IPBES_GA2.2_sup_63;IPBES_GA3_sup_11;IPBES_GA3_sup_56,GEO,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,FALSE,TRUE
red list index (forest specialists),IPBES_GA_3_15_329_423;IPBES_GA2.2_sup_60;IPBES_GA3_sup_19,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
red list index (impacts of fisheries),IPBES_GA_3_15_329_428;IPBES_GA3_sup_23,IPBES,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,0,FALSE,TRUE
red list index (impacts of invasive alien species),GBF_T6_CY_169;IPBES_GA_3_72_395_483;IPBES_GA3_sup_34,GBF,biodiversity,Direct drivers,State of biodiversity,Invasive alien species,1,TRUE,FALSE
red list index (impacts of invasive alien species),GBF_T6_CY_169;IPBES_GA_3_72_395_483;IPBES_GA3_sup_34,IPBES,biodiversity,Direct drivers,State of biodiversity,Invasive alien species,1,FALSE,TRUE
red list index (impacts of pollution),GBF_T7_C_39;IPBES_GA_3_72_395_467;IPBES_GA3_sup_30,GBF,biodiversity,Direct drivers,State of biodiversity,Pollution,1,TRUE,FALSE
red list index (impacts of pollution),GBF_T7_C_39;IPBES_GA_3_72_395_467;IPBES_GA3_sup_30,IPBES,biodiversity,Direct drivers,State of biodiversity,Pollution,1,FALSE,TRUE
red list index (internationally traded birds),IPBES_GA2.2_sup_61,IPBES,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,0,FALSE,TRUE
red list index (internationally traded species and migratory species),GBF_T5_CY_155,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
red list index (internationally traded species),GBF_GB_CY_89;IPBES_GA_2.2_51_92_225;IPBES_GA_3_15_329_417;IPBES_GA3_sup_12,GBF,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,TRUE,FALSE
red list index (internationally traded species),GBF_GB_CY_89;IPBES_GA_2.2_51_92_225;IPBES_GA_3_15_329_417;IPBES_GA3_sup_12,IPBES,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,FALSE,TRUE
red list index (migratory species),CMS_G3.8_12,CMS,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,1,TRUE,FALSE
red list index (pollinators),GBF_GB_CY_59;GBF_T10_CY_196;IPBES_GA_2.2_51_92_226;IPBES_GA2.2_sup_62;IPBES_GA3_sup_57,GBF,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,TRUE,FALSE
red list index (pollinators),GBF_GB_CY_59;GBF_T10_CY_196;IPBES_GA_2.2_51_92_226;IPBES_GA2.2_sup_62;IPBES_GA3_sup_57,IPBES,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,FALSE,TRUE
red list index (vertebrate pollinators),IPBES_GA_3_45_374_450,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
red list index (wild relatives of farmed and domesticated species),GBF_GA_CY_48;GBF_T4_CY_152;GBF_T10_CY_195;IPBES_GA_2.2_51_92_228;IPBES_GA2.2_sup_64;IPBES_GA3_sup_54,GBF,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,TRUE,FALSE
red list index (wild relatives of farmed and domesticated species),GBF_GA_CY_48;GBF_T4_CY_152;GBF_T10_CY_195;IPBES_GA_2.2_51_92_228;IPBES_GA2.2_sup_64;IPBES_GA3_sup_54,IPBES,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,FALSE,TRUE
red list of ecosystems,GBF_GA_H_1;GBF_T1_H_13;GBF_T3_C_21;GBF_T2_CY_128;GBF_T3_CY_145;GBF_T7_CY_177;GEO_14_16_157_133,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
red list of ecosystems,GBF_GA_H_1;GBF_T1_H_13;GBF_T3_C_21;GBF_T2_CY_128;GBF_T3_CY_145;GBF_T7_CY_177;GEO_14_16_157_133,GEO,ecosystems,NA,State of ecosystems,NA,1,FALSE,TRUE
redistributive impact of fiscal policy,SDG_G10.4.2_133,SDG,Human assets,Governance,Income,Legislation/governance,1,TRUE,FALSE
reduced concentration of pollutants in water,IPBES_GA_2.3_42_143_287,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
reduced concentrations of greenhouse gases in the atmosphere,IPBES_GA_2.3_42_143_302,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
reduced concentrations of pm2.5,IPBES_GA_2.3_42_143_298,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
reduced cost of road construction,IPBES_VA_2_76_48_37,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
reduced cost of road maintenance,IPBES_VA_2_76_48_38,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
reduced food spoilage,IPBES_GA_2.3_42_143_313,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
reduced hunger,IPBES_GA_2.3_42_143_328,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
reduced incidence and severity of hazards,IPBES_GA_2.3_42_143_310,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
reduced incidence of infectious diseases,IPBES_GA_2.3_42_143_317,IPBES,Direct drivers,NA,(Infectious) diseases,NA,0,FALSE,TRUE
reduced incidence of water borne disease,IPBES_GA_2.3_42_143_289,IPBES,Direct drivers,NA,(Infectious) diseases,NA,0,FALSE,TRUE
reduced malnutrition,IPBES_GA_2.3_42_143_326,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
reduced morbidity and premature mortality due to natural hazards,IPBES_GA_2.3_42_143_311,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
reduced net farm income loss from pests and diseases,IPBES_GA_2.3_42_143_314,IPBES,Human assets,NA,Income,NA,0,FALSE,TRUE
reduced ocean acidification,IPBES_GA_2.3_42_143_305,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
reduced property loss due to natural hazards,IPBES_GA_2.3_42_143_312,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
reduced risk of disease transmission,IPBES_GA_2.3_42_143_316,IPBES,Direct drivers,NA,(Infectious) diseases,NA,0,FALSE,TRUE
reduction in climate related costs,IPBES_GA_2.3_42_143_303,IPBES,Governance,NA,Legislation/governance,NA,0,FALSE,TRUE
reduction in post-volcanic eruption extreme precipitation,IPCC_11_50_537_287,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
reef growth,IPCC_2_67_109_111,IPCC,ecosystems,ecosystems,State of ecosystems (marine),Change in ecosystems,0,FALSE,TRUE
refugee population,IPBES_GA2.1_sup_25,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
regional deficit index,IPCC_12_72_695_413,IPCC,Human assets,NA,State of economy,NA,0,FALSE,TRUE
regional seas and action plans,GEO_14_15_152_128,GEO,Governance,NA,Nature-based legislation,NA,0,FALSE,TRUE
relative magnitude of fragmentation (rmf),GBF_GA_CY_28,GBF,ecosystems,NA,State of ecosystems (integrity),NA,1,TRUE,FALSE
relevant research funding,IPBES_GA_3_49_379_453,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
remaining primary vegetation,IPBES_GA_2.2_37_70_168;IPBES_GA2.2_sup_19,IPBES,ecosystems,NA,State of ecosystems (coverage),NA,0,FALSE,TRUE
remaining primary vegetation (hotspots),IPBES_GA2.2_sup_20,IPBES,ecosystems,NA,State of ecosystems (coverage),NA,0,FALSE,TRUE
remaining primary vegetation (indigenous lands),IPBES_GA_2.2_37_70_165;IPBES_GA2.2_sup_21,IPBES,ecosystems,Knowledge systems,State of ecosystems (coverage),ILK,0,FALSE,TRUE
remittance costs as a proportion of the amount remitted,SDG_G10.c.1_142,SDG,Human assets,NA,Income,State of economy,1,TRUE,FALSE
remnant ecosystems degrade,IPBES_GA_2.2_5_55_135,IPBES,Direct drivers,NA,Land conversion,NA,0,FALSE,TRUE
renewable electricity consumption (percentage of total electricity output),IPBES_GA2.1_sup_13,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
renewable energy share in the total final energy consumption,SDG_G7.2.1_96;IPBES_SUA_sup_7.2.1_40,SDG,Human assets,Ecosystem services,Infrastructure (build-up area),Nature contribution,1,TRUE,FALSE
renewable energy share in the total final energy consumption,SDG_G7.2.1_96;IPBES_SUA_sup_7.2.1_40,IPBES,Human assets,Ecosystem services,Infrastructure (build-up area),Nature contribution,1,FALSE,TRUE
renewable internal freshwater resource,IPBES_GA2.1_sup_57,IPBES,Human assets,NA,Infrastructure (build-up area),Coverage of basic needs,0,FALSE,TRUE
reproduction rate,IPBES_GA_4_34_176_369,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
reproductive success,IPBES_SUA_4_78_130_59;IPBES_SUA_4_89_132_62,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
research and development expenditure as a proportion of gross domestic product,SDG_G9.5.1_124;IPBES_SUA_sup_9.5.1_66,SDG,Knowledge systems,NA,Information on society and socio-economics,NA,1,TRUE,FALSE
research and development expenditure as a proportion of gross domestic product,SDG_G9.5.1_124;IPBES_SUA_sup_9.5.1_66,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,1,FALSE,TRUE
researchers (in full-time equivalent) per million inhabitants,SDG_G9.5.2_125,SDG,Knowledge systems,NA,Information on society and socio-economics,NA,1,TRUE,FALSE
resilience of forest-dependent communities,IPBES_SUA_2_92_69_15,IPBES,Knowledge systems,Ecosystem services,Specific information on human-nature relationship,Specific mention of sustainable use of species/ecosystems,0,FALSE,TRUE
"resources mobilized from innovative sources of finance, including from the private sector",UNCCD_SO5.4_13,UNCCD,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
resources per capita invested in human settlement per km2,GEO_15_21_173_145,GEO,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
resourcing of invasive alien species prevention and control activities,IPBES_IAS_6_14_142_52,IPBES,Direct drivers,Governance,Invasive alien species,Legislation/governance,0,FALSE,TRUE
retention and prevented emissions of air pollutants by ecosystems,IPBES_GA_2.3_42_143_297,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
retreat of ice sheet,IPCC_9_59_445_263,IPCC,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
revenue from bioenergy production,IPBES_GA_2.3_42_143_320,IPBES,Human assets,Ecosystem services,State of economy,Nature contribution,0,FALSE,TRUE
revenue from forestry,IPBES_GA_2.3_42_143_333,IPBES,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,0,FALSE,TRUE
revenue generated and finance mobilized from biodiversity relevant economic instruments,SDG_G15.a.1.b_208;SDG_G15.b.1.b_210;IPBES_SUA_sup_15.a.1.b_134;IPBES_SUA_sup_15.b.1.b_136,SDG,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
revenue generated and finance mobilized from biodiversity relevant economic instruments,SDG_G15.a.1.b_208;SDG_G15.b.1.b_210;IPBES_SUA_sup_15.a.1.b_134;IPBES_SUA_sup_15.b.1.b_136,IPBES,Governance,NA,Nature-based funding,NA,1,FALSE,TRUE
river fragmentation index,GBF_GA_CY_33,GBF,ecosystems,NA,State of ecosystems (integrity),State of ecosystems (freshwater/coastal),1,TRUE,FALSE
road construction,GEO_6_8_49_70,GEO,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
rooting depth,IPCC_12_17_599_343,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
rule of law index,IPBES_GA_5_104_261_394,IPBES,Governance,NA,Legislation/governance,NA,0,FALSE,TRUE
runoff,IPCC_2_26_47_52,IPCC,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
safe level of annual average pm exposure,GEO_5_19_45_62,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
salinity,IPCC_1_70_30_36;IPCC_2_26_47_64,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
sanitation and hygiene,GEO_20_7_232_200,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
satellite formaldehyde (hcho) observations,IPCC_6_26_304_206,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
satellite observations of precipitation,IPCC_2_51_79_86,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
sea ice extent,IPCC_1_70_30_37;IPCC_2_26_47_58,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
sea ice thermodynamic,IPCC_3_45_183_146,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
sea level,IPCC_2_26_47_65;GEO_2_26_7_9,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
