error,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2
,change in # days tx>35°c,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,change in # droughts,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,change in # soil moisture,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,change in extreme total water level,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,change in mean wind,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,change in the extent of inland water ecosystems over time,GBF_GA_CY_21,GBF,1,ecosystems,State of ecosystems,NA,Change in ecosystems
,change in the extent of water-related ecosystems over time,GBF_GA_C_9;SDG_G6.6.1_91;IPBES_SUA_sup_6.6.1_36,GBF;SDG;IPBES,1,ecosystems,State of ecosystems,NA,Change in ecosystems
,change in the quality of coastal water ecosystems over time,GBF_GB_CY_70,GBF,1,ecosystems,State of ecosystems (freshwater/coastal),NA,Change in ecosystems
,change in the quality of inland water ecosystems over time,GBF_GB_CY_69,GBF,1,ecosystems,State of ecosystems,NA,Change in ecosystems
,change in water-use efficiency over time,GBF_T14_CY_213;SDG_G6.4.1_87;IPBES_SUA_sup_6.4.1_32,GBF;SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA
,changes in evapotranspiration demand,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,changes in groundwater,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
x,changes in land versus sea surface temperature,IPCC_2_31_65,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,changes in low flows,IPCC_11_60_550,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,changes in mean precipitation,IPCC_4_49_249,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,changes in mean streamflow,IPCC_11_60_550,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,changes in observed cloud cover,IPCC_2_51_79,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,changes in phytoplankton phenology,IPCC_2_76_122,IPCC,0,biodiversity,Change in biodiversity,NA,NA
,changes in plankton biomass and abundance,GBF_GA_CY_40,GBF,1,biodiversity,Change in biodiversity,NA,NA
,changes in precipitation,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,changes in precipitation frequency and intensity,IPCC_8_27_367,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,changes in soil moisture,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,changes in surface water,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,"changes in terrestrial, marine and freshwater vertebrate populations",GEO_21_10_246,GEO,0,biodiversity,Change in biodiversity,NA,NA
,"changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,changing range of wild species,GA_2.2_6_56,IPBES,0,biodiversity,Change in biodiversity,NA,NA
,changing status of evolutionary distinct and globally endangered species (edge index),GBF_T4_CY_148,GBF,1,biodiversity,State of biodiversity,NA,Change in biodiversity
,chemical contaminants,GEO_23_24_263,GEO,0,Direct drivers,Pollution,NA,NA
,child mortality,GA_2_22_28;GEO_22_21_257,IPBES;GEO,0,Human well-being,Healthy living conditions,NA,NA
,child mortality rate,IPBES_GA2.1_sup_22,IPBES,0,Human well-being,Healthy living conditions,Human assets,Information on society and socio-economics
,childhood undernutrition,GEO_21_17_251,GEO,0,Human well-being,Healthy living conditions,NA,NA
,circulation,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,circulation index,IPCC_4_8_221,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,cites parties that have implemented relevant resolutions and decisions,SUA_4_68_125,IPBES,0,Governance,Nature-based legislation,NA,NA
,city biodiversity index,GA_3_115_417;GEO_13_14_128,IPBES;GEO,0,biodiversity,State of biodiversity,NA,NA
,climate related loss events,GEO_2_28_8,GEO,0,ecosystems,Abiotic conditions,NA,NA
,climate risk index,VA_6_64_156,IPBES,0,Direct drivers,Natural drivers,NA,NA
,climate velocity,IPCC_12_14_593,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,climatic impact index,GBF_GB_CY_64;GA_3_35_362,GBF;IPBES,1,Direct drivers,Climate change,NA,NA
,climatic impact index for birds,GA_3_72_395;IPBES_GA3_sup_39,IPBES,0,Direct drivers,Climate change,biodiversity,Change in biodiversity
,climatic impact-driver (cid) duration,IPCC_12_22_609,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,climatic impact-driver (cid) frequency,IPCC_12_22_609,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,climatic impact-driver (cid) magnitude,IPCC_12_22_609,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,climatic impact-driver (cid) spatial extent,IPCC_12_22_609,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,climatic impact-driver (cid) timing,IPCC_12_22_609,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,clorophyll concentration,IPCC_2_75_119,IPCC,0,ecosystems,State of ecosystems (marine),NA,NA
,cms connectivity indicator,GBF_GA_CY_49,GBF,1,biodiversity,State of biodiversity,NA,NA
,"cms national report format question, to ask about progress in implementing target 4",CMS_G1.4_6,CMS,1,Governance,Nature-based legislation,NA,NA
,co2 concentration,IPCC_4_79_266;GEO_7_7_63,IPCC;GEO,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,co2 emission per unit of value added,GBF_T14_CY_212;SDG_G9.4.1_123;IPBES_SUA_sup_9.4.1_65,GBF;SDG;IPBES,1,Direct drivers,Climate change,NA,NA
,co2 emissions,GA_3_123_420,IPBES,0,Direct drivers,Climate change,NA,NA
,coastal carbon-rich habitat,GA_2.2_37_70;IPBES_GA2.2_sup_4,IPBES,0,ecosystems,State of ecosystems,NA,NA
,coastal protection habitats,GA_2.2_37_70;IPBES_GA2.2_sup_5,IPBES,0,ecosystems,Area conservation,NA,NA
,cold season temperatures,IPCC_12_19_604,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,IPCC_sup_12,IPCC,0,Direct drivers,Climate change,ecosystems,Abiotic conditions
,combined extreme index (cei),IPCC_11_40_527,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,combined sea level due to storm surge and tide,IPCC_12_45_645,IPCC,0,ecosystems,Abiotic conditions,ecosystems,State of ecosystems
,commercial trade in wild-collected specimens,SUA_4_71_127,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,commodity index,GA_6_137_288,IPBES,0,Human assets,State of economy,NA,NA
,community awareness,GEO_17_8_200,GEO,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,companies with policies for biodiversity-friendly practices,VA_4_28_109,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,IAS_2_14_17,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA
,complete phase-out of biomass use for cooking,GEO_22_21_257,GEO,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,"completion rate (primary education, lower secondary education, upper secondary education)",SDG_G4.1.2_57,SDG,1,Human assets,Coverage of basic needs,Human well-being,Equity
,comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF_GA_CY_45,GBF,1,biodiversity,Species conservation,Human assets,Information on biodiversity
,concentration of hydrogen ions (h+),IAS_4_8_100,IPBES,0,ecosystems,Abiotic conditions,NA,NA
,condition and size of wild animals,GA_2.2_65_113,IPBES,0,biodiversity,State of biodiversity,NA,NA
,species condition index,IAS_4_64_104,IPBES,0,biodiversity,State of biodiversity,NA,NA
,"conflict-related deaths per 100,000 population, by sex, age and cause",SDG_G16.1.2_213,SDG,1,Knowledge systems,Information on society and socio-economics,Governance,Broken governance
x,connection to land,GA_2.3_36_133,IPBES,0,Knowledge systems,ILK,NA,NA
x,connection to sea,GA_2.3_36_133,IPBES,0,Knowledge systems,ILK,NA,NA
,connectivity indicator,GBF_T3_C_22,GBF,1,ecosystems,State of ecosystems (configuration),NA,NA
,consecutive dry days (cdd),IPCC_11_58_543;IPCC_11_93_579;IPCC_12_17_601;IPCC_12_57_665,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,conservation status of species listed in the cites appendices has stabilized or improved,GBF_T4_C_29,GBF,1,biodiversity,Species conservation,NA,NA
,container port traffic (teu: 20 foot equivalent units),IPBES_GA2.1_sup_37,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,continuous global mangrove forest area,GBF_GA_CY_8,GBF,1,ecosystems,State of ecosystems (configuration),NA,NA
,contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,convective available potential energy and wind shear,IPCC_12_66_684,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,convention of fishing and conservation of the living resources of the high seas,IPBES_GA2.1_sup_62,IPBES,0,Governance,National/international cooperation,NA,NA
,convention on biological diversity,IPBES_GA2.1_sup_64,IPBES,0,Governance,National/international cooperation,NA,NA
,convention on the conservation of antarctic marine living resources,IPBES_GA2.1_sup_65,IPBES,0,Governance,National/international cooperation,NA,NA
,cooling degree day index,IPCC_12_54_662,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,cooling degree days,IPCC_12_46_648;IPCC_sup_42,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,coral bleaching,GEO_7_7_63,GEO,0,ecosystems,Change in ecosystems,Direct drivers,Climate change
,correlation between high cultural diversity and areas of high biodiversity,GA_2.3_71_160,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,corruption perception index,VA_3_27_60,IPBES,0,Governance,Broken governance,NA,NA
,costs associated with maintaining ncps of past or future projects,VA_3_76_86,IPBES,0,Governance,Nature-based funding,NA,NA
,costs associated with protecting nature and biodiversity,VA_3_76_86,IPBES,0,Governance,Nature-based funding,NA,NA
,cover of key benthic groups,GBF_GA_CY_18,GBF,1,biodiversity,State of biodiversity,NA,NA
,coverage by protected areas of important sites for mountain biodiversity,GA_3_72_395,IPBES,0,ecosystems,Area conservation,NA,NA
,coverage of essential health services,SDG_G3.8.1_44,SDG,1,Human well-being,Wellness,NA,NA
,coverage of fisheries with management measures to reduce bycatch and discards,GA_1_52_19,IPBES,0,biodiversity,Species conservation,Ecosystem services,Specific mention of sustainable use of species/ecosystems
,coverage of key habitats for migratory species in protected areas,CMS_G3.10_18,CMS,1,ecosystems,Area conservation,Governance,Nature-based legislation
,coverage of protected areas and other effective area-based conservation measures,GBF_T3_H_18,GBF,1,ecosystems,Area conservation,NA,NA
,coverage of protected areas and other effective area-based conservation measures and traditional territories (by governance type),GBF_T3_CY_139,GBF,1,ecosystems,Area conservation,NA,NA
,coverage of protected areas in relation to marine areas,GEO_14_14_147,GEO,0,ecosystems,Area conservation,NA,NA
,"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",SDG_G3.5.1_39,SDG,1,Human well-being,Wellness,NA,NA
x,coverage of wetland dependent bird populations by designated ramsar sites,RAMSAR_SG2.5_18,RAMSAR,1,ecosystems,Area conservation,,
x,coverage of wetland dependent non-avian populations by designated ramsar sites,RAMSAR_SG2.5_19,RAMSAR,1,ecosystems,Area conservation,,
,"credit to agriculture, forestry and fishing",IPBES_GA2.1_sup_66,IPBES,0,Governance,Nature detrimental legislation,NA,NA
,crops and their dietary roles,GA_2.3_22_127,IPBES,0,Knowledge systems,ILK,Ecosystem services,Nature contribution
,cross-natrional comparative information on access to and ownership of land,GEO_3_10_20,GEO,0,Human well-being,Equity,NA,NA
,cultivated area,GA_2.3_39_137,IPBES,0,ecosystems,State of ecosystems,NA,NA
,cultural continuity,SUA_2_95_77,IPBES,0,Knowledge systems,ILK,NA,NA
remove,cultural identity,GA_2_25_33,IPBES,0,Human well-being,Wellness,Human well-being,Cultural diversity
,cultural vitality index,GBF_GB_CY_86,GBF,1,Human well-being,Cultural diversity,NA,NA
,culturally salient species,GA_2.2_5_55;GA_2.2_65_113,IPBES,0,Knowledge systems,ILK,NA,NA
,cumulative ghg emissions,IPCC_1_58_23,IPCC,0,Direct drivers,Climate change,NA,NA
,cumulative human impacts on marine ecosystems,GA_4_155_228,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,cumulative introduced invasive aliens,GA_2.2_37_70;GA_2.2_37_70;IPBES_GA2.2_sup_49;IPBES_GA2.2_sup_50,IPBES,0,Direct drivers,Invasive alien species,NA,NA
,cumulative storm energy and storm power index,IPCC_12_20_606,IPCC,0,Ecosystem services,Nature contribution,ecosystems,Abiotic conditions
,current distribution of species,IAS_2_155_79,IPBES,0,biodiversity,State of biodiversity,NA,NA
,cyclical patterns of abundance,SUA_2_96_79,IPBES,0,Knowledge systems,ILK,biodiversity,State of biodiversity
,"daily exposure natural terrestrial, coastal and marine areas",GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,daily maximum tempreature above 35°c,IPCC_12_11_589,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,daily precipitation,IPCC_11_25_512,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,daily temperature,IPCC_11_25_512;IPCC_11_37_520,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,daily temperature range: monthly mean difference between tx and tn,IPCC_sup_15,IPCC,0,Direct drivers,Climate change,NA,NA
,damage to critical infrastructure,SDG_G11.5.3.a_150,SDG,1,Human assets,Infrastructure (build-up area),Knowledge systems,Information on society and socio-economics
,days of heavy precipitation,IPCC_11_53_541,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,death rate due to road traffic injuries,SDG_G3.6.1_41,SDG,1,Human assets,Coverage of basic needs,NA,NA
,deaths due to unsafe water,GEO_20_7_232,GEO,0,Direct drivers,Pollution,Human well-being,Healthy living conditions
,deaths from air pollution,IPBES_GA2.1_sup_40,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,debt service as a proportion of exports of goods and services,SDG_G17.4.1_241,SDG,1,Human assets,State of economy,NA,NA
,deforestation,GEO_6_8_49,GEO,0,ecosystems,Change in ecosystems,NA,NA
,deforestation rate,GEO_6_26_61;GEO_15_19_169,GEO,0,Direct drivers,Land conversion,ecosystems,Change in ecosystems
,degree heating months,IPCC_12_70_691,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,degree heating weeks,IPCC_12_70_691,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,SDG_G14.b.1_192;IPBES_SUA_sup_14.b.1_119,SDG;IPBES,1,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems
,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",GBF_T5_CY_159;GBF_T9_CY_188;SDG_G14.6.1_189;IPBES_SUA_sup_14.6.1_116,GBF;SDG;IPBES,1,Governance,Nature-based legislation,Governance,National/international cooperation
,degree of integrated water resources management,SDG_G6.5.1_89;IPBES_SUA_sup_6.5.1_34,SDG;IPBES,1,Governance,Nature-based legislation,,NA
,degree of sustainable public procurement policies and action plan implementation,IPBES_SUA_sup_12.7.1_97,IPBES,0,Governance,Nature-based legislation,NA,NA
,demand for greener products and services,GA_3_26_355,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,democracy,GEO_22_21_257,GEO,0,Knowledge systems,Information on society and socio-economics,Governance,Legislation/governance
,dendritic connectivity index,GBF_GA_CY_34,GBF,1,ecosystems,State of ecosystems,NA,NA
,density of preferred and palatable species,GA_2.3_40_140,IPBES,0,biodiversity,State of biodiversity,NA,NA
,developing countries’ and least developed countries’ share of global exports,SDG_G17.11.1_248;IPBES_SUA_sup_17.11.1_148,SDG;IPBES,1,Human assets,State of economy,NA,NA
,development of crop varieties or landraces,GA_2.3_22_127,IPBES,0,Knowledge systems,ILK,NA,NA
,dietary health and sustainability,GEO_17_11_203;GEO_17_12_205,GEO,0,Human well-being,Healthy living conditions,Ecosystem services,Specific mention of sustainable use of species/ecosystems
,direct co2 air measurements,IPCC_1_13_4,IPCC,0,ecosystems,State of ecosystems,NA,NA
,direct economic loss attributed to disasters in relation to global gross domestic product,SDG_G1.5.2_8;SDG_G11.5.2_149;IPBES_SUA_sup_1.5.2_7,SDG;IPBES,1,Human assets,State of economy,NA,NA
,"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",IPBES_SUA_sup_11.5.2_82,IPBES,0,Human assets,State of economy,NA,NA
,disability-adjusted life years (dalys) lost,GEO_5_19_45,GEO,0,Human well-being,Healthy living conditions,NA,NA
,discontinued traditional land-management practices,GA_2.2_6_56,IPBES,0,Knowledge systems,ILK,ecosystems,Area conservation
remove,distance travelled to reach a resource,GA_2.3_40_140,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,distribution of marine biota,IPCC_2_26_47,IPCC,0,biodiversity,State of biodiversity,NA,NA
,distribution of species,IPCC_2_75_120,IPCC,0,biodiversity,State of biodiversity,NA,NA
,distribution of terrestrial biota,IPCC_2_26_47,IPCC,0,biodiversity,State of biodiversity,NA,NA
,diversity of competent hosts of vector-borne diseases,GA_2.3_42_143,IPBES,0,biodiversity,Genetic diversity,Direct drivers,(Infectious) diseases
,diversity of life from which to learn,GA_2.3_42_143,IPBES,0,biodiversity,State of biodiversity,Knowledge systems,Information on biodiversity
,dollar value of all resources made available to strengthen statistical capacity in developing countries,GBF_T19_CY_241;SDG_G17.19.1_258;IPBES_SUA_sup_17.19.1_157,GBF;SDG;IPBES,1,Governance,National/international cooperation,NA,NA
,"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries",GBF_T19_CY_240,GBF,1,Governance,National/international cooperation,NA,NA
,"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",SDG_G17.9.1_246;IPBES_SUA_sup_17.9.1_146,SDG;IPBES,1,Governance,National/international cooperation,NA,NA
,domestic material consumption,GA_2_24_29;GEO_17_20_213;IPBES_GA2.1_sup_7,IPBES;GEO,0,Human assets,State of economy,NA,NA
,"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product",SDG_G8.4.2_104;SDG_G12.2.2_162;IPBES_SUA_sup_8.4.2_48;IPBES_SUA_sup_12.2.2_90,SDG;IPBES,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_GD_H_11;GBF_T19_H_46,GBF,1,Governance,Nature-based funding,NA,NA
,"drinking water supply, treatment and distribution",GEO_9_18_80,GEO,0,Human well-being,Healthy living conditions,NA,NA
,drought frequency (df),IPCC_12_43_641,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,drought index (di),IPCC_12_43_640,IPCC,0,ecosystems,Abiotic conditions,ecosystems,State of ecosystems
,drought severity index,IPCC_12_57_666,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,drought-resistant vegetation,GEO_17_8_200,GEO,0,ecosystems,State of ecosystems,NA,NA
,droughts,GA_2.2_6_56,IPBES,0,Direct drivers,Natural drivers,NA,NA
,early nimbus satellite visible and infrared imagery,IPCC_2_58_91,IPCC,0,ecosystems,State of ecosystems,NA,NA
,ecolabel index,SUA_2_93_72,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,ecological footprint,GBF_T16_C_61;GBF_GB_CY_56;GA_1_52_19;GA_5_73_254;GA_3_15_329;GA_3_26_355;VA_2_38_29;GEO_13_14_129;GEO_13_19_142;IPBES_GA3_sup_10,GBF;IPBES;GEO,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,economic damages due to river floods,IPCC_1_62_25,IPCC,0,Human assets,Infrastructure (build-up area),Direct drivers,Natural drivers
,economic growth,GEO_3_5_16,GEO,0,Human assets,State of economy,NA,NA
,economic inequality,IPCC_1_62_25,IPCC,0,Human well-being,Equity,NA,NA
,economic value of bio-inspired production,GA_2.3_42_143,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA
,ecosystem intactness index,GBF_GA_C_1;GBF_GA_CY_29,GBF,1,ecosystems,State of ecosystems (integrity),NA,NA
,ecosystem integrity index,GBF_GA_C_2;GBF_T1_CY_114,GBF,1,ecosystems,State of ecosystems (integrity),NA,NA
,effectiveness of wetland invasive alien species control programmes,RAMSAR_SG1.4_13,RAMSAR,1,Governance,Nature-based legislation,biodiversity,Species conservation
,eflow index,GBF_GB_CY_68,GBF,1,ecosystems,State of ecosystems (freshwater/coastal),NA,NA
,el niño-southern oscillation (enso) index,IPCC_2_76_122;IPCC_4_8_220;IPCC_4_27_234;IPCC_5_36_278,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,el niño-southern oscillation (enso) index bjerknes index,IPCC_4_37_241,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,electric power consumption (kwh per capita),IPBES_GA2.1_sup_14,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,emission of particular compounds,IPCC_7_90_359,IPCC,0,Direct drivers,Climate change,NA,NA
,emissions of ozone-depleting substances,GEO_12_15_115;GEO_12_17_120,GEO,0,Direct drivers,Pollution,NA,NA
,employment in materials production,GA_2.3_42_143,IPBES,0,Human assets,Income,Ecosystem services,Nature contribution
remove,empowerment of women and girls,GEO_17_8_199,GEO,0,Human well-being,Equity,NA,NA
,encounter rates with supernatural forest dwelling entities,GA_2.3_41_142,IPBES,0,Knowledge systems,ILK,NA,NA
,endemic species richness,VA_2_10_12,IPBES,0,biodiversity,State of biodiversity,NA,NA
,endemism richness,GA_2.2_21_61,IPBES,0,biodiversity,State of biodiversity,NA,NA
,energy consumption,GEO_17_14_210,GEO,0,Ecosystem services,Nature contribution,NA,NA
,energy content of bioenergy crops,GA_2.3_42_143,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,energy intensity measured in terms of primary energy and gross domestic product,SDG_G7.3.1_97;IPBES_SUA_sup_7.3.1_41,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA
,energy production,GEO_17_14_210,GEO,0,Ecosystem services,Nature contribution,NA,NA
,energy security from bio-energy and fuelwood,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,"energy supply derived from cereals, roots and tubers",IPBES_GA2.1_sup_18,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,energy use (kg of oil equivalent per capita),IPBES_GA2.1_sup_10,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,energy-intensity,GEO_22_12_256,GEO,0,Human assets,State of economy,NA,NA
