error,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2
,avoided costs from air pollution,GA_2.3_42_143,IPBES,0,Governance,Legislation/governance,Direct drivers,Pollution
,avoided morbidity and premature mortality from air pollution,GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,Direct drivers,Pollution
,avoided water treatment costs,GA_2.3_42_143,IPBES,0,Human assets,Coverage of basic needs,NA,NA
,bare area,GA_2.3_39_137,IPBES,0,ecosystems,State of ecosystems,NA,NA
,beach erosion volume due to the 100-year recurrence storm wave height,IPCC_12_20_606,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
,beach litter,GEO_14_14_151;GEO_14_15_152,GEO,0,Direct drivers,Pollution,NA,NA
,bedrock topography,IPCC_9_48_440,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,beef consumption,GEO_22_8_255,GEO,0,Human well-being,Healthy living conditions,NA,NA
,behavior of animals with importance as food,GA_2.3_22_127,IPBES,0,Knowledge systems,ILK,Ecosystem services,Nature contribution
new,changes in crop phenology,,IPBES,0,Knowledge systems,ILK,Ecosystem services,Nature contribution
,benefits derived from healthy ecosystems and costs caused by its depletion,VA_2_38_28,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,benefits from the sustainable use of wild species,GBF_T9_H_27,GBF,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA
,benthich isotopes,IPCC_2_28_57,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,better life index,GA_1_52_19,IPBES,0,Human well-being,Healthy living conditions,Human well-being,Wellness
,biocapacity,GEO_13_19_143,GEO,0,Ecosystem services,Nature contribution,NA,NA
,biochemical oxygen demand (bod),GA_3_74_399,IPBES,0,Ecosystem services,Nature contribution,NA,NA
x,bioclimatic ecosystem resilience index (beri),GBF_T8_C_43;GBF_GA_CY_27;GBF_T2_CY_123,GBF,1,ecosystems,State of ecosystems (integrity),NA,NA
,biodiversity barometer (percentage of respondents giving correct definition of biodiversity),GA_3_15_329;IPBES_GA3_sup_2,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,biodiversity barometer (percentage of respondents that have heard of biodiversity),GA_3_15_329;IPBES_GA3_sup_1,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,biodiversity habitat index,GBF_GA_C_4;GBF_GA_CY_25;GBF_T2_CY_126;GA_1_52_19;GA_2.2_37_70;GA_2.2_39_75;GA_2.2_52_95;IPBES_GA2.2_sup_2;IPBES_GA2.2_sup_3,GBF;IPBES,1,biodiversity,State of biodiversity,NA,NA
,biodiversity habitat index (species persisting),IPBES_GA2.2_sup_55,IPBES,0,ecosystems,State of ecosystems,NA,NA
,"biodiversity habitat index (species persisting, hotspots)",IPBES_GA2.2_sup_54,IPBES,0,ecosystems,State of ecosystems,NA,NA
,biodiversity in poverty reduction strategies,VA_4_28_109,IPBES,0,Governance,Nature-based legislation,NA,NA
,biodiversity intactness index,GBF_GA_CY_30;GA_1_52_19;GA_2_117_46;GA_2.2_45_87;GA_2.2_46_88;GA_2.3_42_143;GA_5_10_235;VA_3_26_59;GEO_6_16_55;GEO_6_17_57;IPBES_GA2.2_sup_39,GBF;IPBES;GEO,1,biodiversity,State of biodiversity,NA,NA
,biodiversity intactness index (hotspots),IPBES_GA2.2_sup_37,IPBES,0,biodiversity,State of biodiversity,NA,NA
,biodiversity intactness index (indigenous lands),IPBES_GA2.2_sup_38,IPBES,0,biodiversity,State of biodiversity,NA,NA
,biodiversity intactness index (tropical forest),GA_2.2_37_70;IPBES_GA2.2_sup_47,IPBES,0,biodiversity,State of biodiversity,NA,NA
,"biodiversity intactness index (tropical forest, hotspots)",GA_2.2_37_70;IPBES_GA2.2_sup_45,IPBES,0,biodiversity,State of biodiversity,NA,NA
,"biodiversity intactness index (tropical forest, indigenous lands)",GA_2.2_37_70;IPBES_GA2.2_sup_46,IPBES,0,biodiversity,State of biodiversity,NA,NA
,biofuel production,GBF_GB_CY_74;GEO_8_26_75,GBF;GEO,1,Ecosystem services,Nature contribution,NA,NA
,biological pump efficiency,GA_2.2_37_70;IPBES_GA2.2_sup_28,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA
,biomass abundance,GA_4_34_176,IPBES,0,ecosystems,State of ecosystems,NA,NA
,biomass of prey fish,GA_2.2_1_50,IPBES,0,biodiversity,State of biodiversity,NA,NA
,biomass of selected natural ecosystems,GBF_GA_CY_24,GBF,1,ecosystems,State of ecosystems,NA,NA
,biomass turnover rate,GA_2.2_37_70;IPBES_GA2.2_sup_29,IPBES,0,biodiversity,Change in biodiversity,NA,NA
,biophysical inventories of biodiversity and ecosystem services,VA_4_28_109,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,biotic productivity,GA_2.3_56_155,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,biotime species richness indicator,GA_2.2_45_85,IPBES,0,biodiversity,State of biodiversity,NA,NA
,biotime-local species richness,GA_1_52_19,IPBES,0,biodiversity,State of biodiversity,NA,NA
,bird species per grid cell,GA_2.2_37_70;IPBES_GA2.2_sup_48,IPBES,0,biodiversity,State of biodiversity,NA,NA
,blocking index,IPCC_8_47_395,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,blood pressure,GEO_21_17_251,GEO,0,Human well-being,Healthy living conditions,NA,NA
,blue water sustainability index,GA_3_76_401,IPBES,0,ecosystems,Area conservation,Knowledge systems,Specific information on human-nature relationship
,body condition,SUA_2_97_80;SUA_4_89_132,IPBES,0,Knowledge systems,ILK,biodiversity,State of biodiversity
,body fat,SUA_4_78_130,IPBES,0,biodiversity,State of biodiversity,NA,NA
,body mass index,GEO_21_17_251,GEO,0,biodiversity,State of biodiversity,NA,NA
,boron-isotope,IPCC_2_14_37,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,buffer zones to protect catchment areas,GEO_17_8_200,GEO,0,ecosystems,Area conservation,NA,NA
,build up area,GEO_8_14_67;GEO_8_14_67,GEO,0,Human assets,Infrastructure (build-up area),NA,NA
,business operations,GEO_17_20_212,GEO,0,Governance,Legislation/governance,NA,NA
,by catch of vulnerable and non-target species,GBF_T5_CY_158,GBF,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,c pool,GA_4_34_176,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,c-haines index,IPCC_12_43_643,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,caloric intake,GA_2_22_28;GA_2_24_29,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,carbon sequestration,GA_2.3_56_155,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF_T8_CY_186,GBF,1,Direct drivers,Climate change,NA,NA
,carbon uptake by land and ocean,IPCC_4_8_220,IPCC,0,Ecosystem services,Nature contribution,ecosystems,State of ecosystems
,catch per unit effort,SUA_2_96_79;SUA_2_97_80,IPBES,0,Knowledge systems,ILK,Ecosystem services,Nature contribution
remove,catch per unit per effort,SUA_6_115_207,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,certified forest area,IPBES_GA2.1_sup_60,IPBES,0,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA
,change in # days hi>41°c,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems
